timestamp,open,high,low,close,volume
2023-04-04,638,638,573.9,573.9,49679
2023-04-05,573.9,573.9,551,559,23219
2023-04-06,559,568.9,550.9,566,14847
2023-04-09,554.8,555,546,550,46237
2023-04-10,560,561,542,542,7321
2023-04-11,542,549.9,534,548,20424
2023-04-12,555,575,555,575,43629
2023-04-13,585,587,560,569,12096
2023-04-16,577.5,577.5,550.1,557,19345
2023-04-17,552.4,558,552.1,553,9853
2023-04-18,554,561.9,550.1,558.8,15736
2023-04-19,560,571,555,571,14649
2023-04-20,577.9,585,571,579,28677
2023-04-23,570,579,570,572.1,5153
2023-04-24,570,577,563,576,4437
2023-04-25,576,606,566.8,602,35842
2023-04-26,612.9,612.9,590,590,20075
2023-04-27,587.3,613.8,578.5,594,11143
2023-04-30,585,594,575,594,12512
2023-05-02,582.2,585,575.1,580,2154
2023-05-03,580,580,568.5,570,10962
2023-05-04,570.1,579,565,573,5359
2023-05-07,565.1,571,565.1,568.5,4228
2023-05-08,568,570,562.2,569,13706
2023-05-09,558.1,580.3,558.1,569,3353
2023-05-10,579.9,579.9,564,577.8,13874
2023-05-11,589,589,568,575,14119
2023-05-14,586,586,564,567.6,5990
2023-05-15,570,570,561,563,13421
2023-05-16,563,570,552.1,569,7381
2023-05-17,569,604,565,603.9,14951
2023-05-18,614,615,587,603.1,13730
2023-05-21,602,614.9,597,614,26530
2023-05-22,619,630,598,622,17368
2023-05-23,633,644,621.5,644,21920
2023-05-24,644,669,637,668,37717
2023-05-28,668,672,641,653,23891
2023-05-30,640,643,621,622.9,33440
2023-05-31,610.5,634,598.3,606,22279
2023-06-01,609,620,597.2,614.9,24326
2023-06-04,627,649.9,625,647,17941
2023-06-05,647,649,635.3,637,42859
2023-06-06,635.1,688,635.1,687,61375
2023-06-07,674,705,673.2,680.4,38855
2023-06-08,684,730,678,715,135410
2023-06-11,728,728,708,723,47664
2023-06-12,729,758.3,703,758,70557
2023-06-13,743,805,729,760,73729
2023-06-14,760,769.9,742.9,767,79981
2023-06-15,751.7,775,751.7,773.5,45913
2023-06-18,775,805,768,804.5,74556
2023-06-19,800,801,766,766,38691
2023-06-20,781.3,781.3,744,744,33666
2023-06-21,740,780,720,745.1,35473
2023-06-22,733,774.8,733,765,39408
2023-06-25,775,809.9,775,799.8,94310
2023-06-26,810,817,784,787.5,59647
2023-06-27,773,795,773,789,34963
2023-06-28,778,797,774,781.2,51984
2023-07-02,776,804,776,780,70924
2023-07-03,780,787.9,769,780,29941
2023-07-04,780,795,765,769.8,35638
2023-07-05,755.5,775,745,745,28027
2023-07-06,757.8,757.8,735,743.5,23253
2023-07-09,729.1,772.1,729.1,765,26810
2023-07-10,779.9,779.9,754,760,44712
2023-07-11,760,766,750,756,30911
2023-07-12,750,780,750,775,74539
2023-07-13,775,795,775,777,67669
2023-07-16,777,786,769,778.5,26888
2023-07-17,777,795,774,795,44388
2023-07-18,800,830,797,824,142223
2023-07-19,815,837,808,814.9,73568
2023-07-20,826,826,800.5,808,33516
2023-07-23,792,831,792,817.1,61784
2023-07-24,802,829,801,819.8,48083
2023-07-25,817,823,805,806,29586
2023-07-26,791,821,791,798,36345
2023-07-27,800,816,780,783,25154
2023-07-30,783,783,756,767,28784
2023-07-31,768,779,754,758.1,29771
2023-08-01,750,772.9,733.1,740,37692
2023-08-02,740,759.8,728,749,16695
2023-08-03,741.1,760.5,741.1,749.8,7701
2023-08-06,740,744,725.2,731.1,20399
2023-08-07,730,760,717,745,11886
2023-08-08,759,759,716,728,9275
2023-08-09,742,757,711.1,749,13590
2023-08-10,742,769.9,742,756,19125
2023-08-13,755.2,821,750,821,26962
2023-08-14,804.6,804.6,767,768,24228
2023-08-15,753.5,780,753.5,769,29201
2023-08-16,767,767,742,754,30824
2023-08-17,761.8,768,748.1,754.9,12550
2023-08-20,768.9,768.9,730.2,737,13432
2023-08-21,726,750,725.2,750,13554
2023-08-22,740,746.5,730,735.1,15112
2023-08-23,748,767,737,755,28793
2023-08-24,760,777,747,747,22472
2023-08-27,739.9,742,730.1,741.9,5040
2023-08-28,750,755,732.1,739,12943
2023-08-29,745,745,735.4,738,15623
2023-08-30,730.2,748,730.2,734.5,20141
2023-09-03,735,735,720,722,13776
2023-09-04,736.4,737,719,728.9,20045
2023-09-05,742,742,725,730,4820
2023-09-07,730,744.6,716,719,9374
2023-09-10,719,736,711,720.1,5940
2023-09-11,717,792.1,717,791,16735
2023-09-12,775.2,775.2,736,745,18248
2023-09-13,736,766.9,736,759,14397
2023-09-17,773,773,732.2,735,12421
2023-09-18,725.5,778,725.5,735.4,4790
2023-09-19,740,769.7,702,738.3,15622
2023-09-21,753,760,745,752,17881
2023-09-24,766,766,737,740,9239
2023-09-25,725.3,758,725.2,744,9512
2023-09-26,750,773.9,731.5,738,43788
2023-09-27,740,740,729,731,11779
2023-10-01,731,738,722,728,5075
2023-10-02,739,739,720,726.6,5625
2023-10-03,720,734.4,720,723,13353
2023-10-04,733,733,722,724,8929
2023-10-05,724,730,716,725,9615
2023-10-08,712.7,715,700,705,14851
2023-10-09,706,710,695,698,9188
2023-10-10,700,700,678.1,678.1,12182
2023-10-11,671,693.6,671,687,7126
2023-10-12,686.1,686.2,674.1,686,17356
2023-10-16,673,754.6,673,740,8999
2023-10-17,725.2,725.2,690,710,15425
2023-10-18,717.9,724,690,717,10515
2023-10-19,710.3,716,695,714,6722
2023-10-29,699.8,702,692,702,4737
2023-10-30,688,710,688,708.9,6706
2023-10-31,712,712,692,699,1701
2023-11-01,699,700,685,698.6,6802
2023-11-02,699,699,685.1,685.1,9116
2023-11-05,676.1,685,673.2,685,6253
2023-11-06,672.1,753,672.1,753,7218
2023-11-07,738,738,687,707.9,4506
2023-11-08,707.9,714.9,693.9,695,2116
2023-11-09,708.9,723,690,701,4783
2023-11-20,710,715.1,700,714,9983
2023-11-21,701,701,689,700,2704
2023-11-22,700,711,686,710,4184
2023-11-23,710,715,688,708,4565
2023-11-26,708,722,706,721,14313
2023-11-27,730,735,716.1,722,9507
2023-11-28,720,728,716,725,8150
2023-11-29,725,738,710.6,720,2773
2023-11-30,714,728,701,710,6151
2023-12-03,723,723,696,699,3659
2023-12-04,699,710,697,697.1,2519
2023-12-05,695,700,680,688,8023
2023-12-06,701,701,681.5,683.5,2945
2023-12-07,675,715,675,691.3,19333
2023-12-10,705.1,747,705.1,747,1270
2023-12-11,750,759,724,750,34220
2023-12-12,765,785,751.1,778.9,28993
2023-12-13,765,779,760,764,23666
2023-12-14,777,777,744.8,744.8,5775
2023-12-17,730,759,727,751,28206
2023-12-18,750,765,748.1,755,42960
2023-12-19,770,776,756,774,14367
2023-12-20,789.4,800,768,772,36923
2023-12-21,775,785,745,768,20359
2023-12-24,753,779.9,753,760,26797
2023-12-27,756.1,772,755,765,24004
2023-12-28,756,776,753,760,41226
2024-01-01,770,780,758,767,21054
2024-01-02,760,764,744,751,9341
2024-01-03,745,823,736,823,56965
2024-01-04,823,823,763,769,78543
2024-01-07,760,784,745,745,15096
2024-01-08,759.9,759.9,745,752.3,12885
2024-01-09,754,771,753,753,27510
2024-01-10,765,795.9,751.1,756.2,14389
2024-01-11,757,759.9,751.1,759.9,13780
2024-01-14,759.9,773,748,754,12647
2024-01-16,765,770,749.7,760,23619
2024-01-17,775,777.2,756,763,39130
2024-01-18,750,760.9,750,751,17395
2024-01-21,760,763,748,759.8,20482
2024-01-22,746,758,740,742,10040
2024-01-23,742,750,731.1,738,41593
2024-01-24,738,750,733,738,20719
2024-01-25,752.7,752.7,725,743,13902
2024-01-28,743,743,733.5,736.4,5371
2024-01-29,733,745,733,742,10884
2024-01-30,745,745.5,736.2,737,13189
2024-01-31,740,745,721,722,16754
2024-02-01,736,736,702,704,15457
2024-02-04,703,717,700.1,716.8,13047
2024-02-05,716.8,716.8,693,696,19432
2024-02-06,696,704,696,700,11389
2024-02-07,714,714,698,705,10999
2024-02-08,698,714,698,710,7024
2024-02-11,712,750,700,713,7764
2024-02-12,727,741,716,740,31743
2024-02-13,726,740.2,725,725,17647
2024-02-14,735.9,765.6,725,750,18213
2024-02-15,758.9,759,732,733,8050
2024-02-18,733,740,719,719,15824
2024-02-20,730,733,721,727.6,9818
2024-02-21,732,742,727.1,733.9,12403
2024-02-22,734,740,715.5,720,18774
2024-02-25,710,728,709,724,25753
2024-02-26,729,729,715,719,8551
2024-02-27,720.1,732,719,722,9184
2024-02-28,734.8,734.8,714,724,4793
2024-02-29,720,730,714.3,724,17110
2024-03-03,719,723,706,715.2,15294
2024-03-04,729.5,773,726.5,769,1470
2024-03-05,753.7,753.7,722,730,20317
2024-03-06,742,742,715.1,733,13754
2024-03-07,747,747,726.5,744,7432
2024-03-10,756,760,741.1,760,29692
2024-03-12,768,783,761.3,780,29025
2024-03-13,795.6,795.6,766.2,776,16723
2024-03-14,761,783,761,768.3,35770
2024-03-17,753,770,753,769,13126
2024-03-18,765,768,757.2,765,7751
2024-03-19,760,775,760,765,6832
2024-03-20,770,775,757,758,7654
