timestamp,open,high,low,close,volume
2023-03-07,265,291.5,265,291.5,200
2023-03-09,297.3,320.6,297.3,320.6,480
2023-03-12,327,352.6,327,352.6,700
2023-03-13,359.6,387.8,359.6,387.8,5031
2023-03-14,395,426.5,395,426.5,3160
2023-03-15,435,469.1,435,469.1,7236
2023-03-16,478.4,516,478.4,516,19555
2023-03-19,526.3,567.6,510,567.6,50123
2023-03-20,565,610.9,534.4,590,20723
2023-03-22,590,590,564,569.7,13780
2023-03-23,560,560,526.6,537,24690
2023-03-26,526.3,537,515,530,8215
2023-03-27,535,537.1,515,535,10120
2023-03-28,545,557.9,525,544,8314
2023-03-29,533.3,566,531.1,550,10120
2023-03-30,539,560,539,544.5,5787
2023-04-02,544.5,544,520,520,6780
2023-04-03,525,526,511.3,521,9223
2023-04-04,511,542.1,510.6,526,2125
2023-04-05,516.1,535.6,516.1,535.6,2730
2023-04-06,526,546,526,534.1,8778
2023-04-09,523.5,535.6,515,515,7856
2023-04-10,525,544,516.1,537,5200
2023-04-11,530,541,530,540,3295
2023-04-12,550,560,541,559.9,13709
2023-04-13,565,565,545.2,558.4,3715
2023-04-16,552,559,541,557,7580
2023-04-17,565,565,535,550,4250
2023-04-18,539,552,529,550,2120
2023-04-19,540,560,536.1,554,3770
2023-04-20,550,565,538.1,549.8,2641
2023-04-23,540,550.9,533,550,4803
2023-04-24,540,543,531,536,900
2023-04-25,527.2,546.7,527.2,540,1440
2023-04-26,530.1,547,530,530,1725
2023-04-27,520.1,560,520.1,530.1,8902
2023-04-30,520.8,532,520.8,527.9,1190
2023-05-02,527.9,529,515.2,529,2428
2023-05-03,519,527,518.7,527,790
2023-05-04,518.2,525,517.3,525,750
2023-05-07,521,521,510.2,519,4218
2023-05-08,509,519.9,509,519.9,1180
2023-05-09,512,519.9,510.2,518,400
2023-05-10,521.9,525.4,512,520,530
2023-05-11,510,527,506,527,1070
2023-05-14,520,520,508,518,2085
2023-05-15,520,527,507,514.9,440
2023-05-16,506,515,506,510,795
2023-05-17,520.2,530.6,515,525,1410
2023-05-18,535,535,512,526.4,1150
2023-05-21,518.1,540,518.1,537.7,4630
2023-05-22,527,540,519.1,539.9,4000
2023-05-23,540,559,540,555,9151
2023-05-24,544,571.9,544,571.9,7120
2023-05-28,561,574,555.2,574,8965
2023-05-30,580,580,547,550,3407
2023-05-31,539.1,561,528.4,547,3230
2023-06-01,547,568.9,538,550,1280
2023-06-04,560,595,552,586.5,11135
2023-06-05,590,608,574.8,608,15545
2023-06-06,608,641.9,600,641.9,6906
2023-06-07,640,660,627.2,652.8,5340
2023-06-08,665.8,670,634,670,12898
2023-06-11,683,683,660,675,14243
2023-06-12,680,708.9,665,708.9,8466
2023-06-13,715,765,679,765,7068
2023-06-14,780,780,692,732,9982
2023-06-15,735,770,688,770,5419
2023-06-18,754.6,754.6,707.2,727,5955
2023-06-19,712.5,739,693.2,739,6295
2023-06-20,750,750,688,744,9583
2023-06-21,758,773.1,700,745,17811
2023-06-22,730.1,790,707,790,3501
2023-06-25,774.2,789,714.5,736.2,9965
2023-06-26,730,805,715.4,754,6438
2023-06-27,765,769,720,753.7,3968
2023-06-28,738.7,814.8,718.9,814.8,6965
2023-07-02,798.6,798.6,766.9,779,4589
2023-07-03,794,794,744.8,774.9,6858
2023-07-04,770,789.9,740,759.9,3246
2023-07-05,750,750,727,749.7,3245
2023-07-06,734.8,764.6,720.2,764.6,9279
2023-07-09,750,765,736.2,765,5070
2023-07-10,749.7,764.5,732.3,749.7,1040
2023-07-11,734.8,734.8,730,730.2,680
2023-07-12,744.8,803,742.8,803,12247
2023-07-13,787,802.5,784,799,5845
2023-07-16,783.1,810,749,810,6348
2023-07-17,793.8,810,778,810,4029
2023-07-18,815,891,770,882,7630
2023-07-19,864.4,864.4,794,850,13746
2023-07-20,850,865,790,826,2952
2023-07-23,809.5,816,788.1,800,6755
2023-07-24,784,805,782.2,798.9,1168
2023-07-25,810,813.8,769,772.1,2152
2023-07-26,760,775,759.5,766.2,2045
2023-07-27,761,768,741,742,1198
2023-07-30,728.2,742,728.2,742,646
2023-07-31,730,742,730,730,1500
2023-08-01,719,728,719,726.3,830
2023-08-02,713.5,722,702,714.9,760
2023-08-03,705,738,704,715,665
2023-08-06,701.3,710.2,691,699.8,1032
2023-08-07,686,693,677,687.1,1910
2023-08-08,687,687.1,670,670.5,1290
2023-08-09,662,712,662,690,1154
2023-08-10,676.2,745,670,700,790
2023-08-13,714,768,686,725,1673
2023-08-14,725,725,680,698,620
2023-08-15,711.9,725,676.1,682,466
2023-08-16,670.4,682,668,668,700
2023-08-17,675,675.3,662.2,662.2,320
2023-08-20,650,665,650,655,1280
2023-08-21,643.1,646,620,632,735
2023-08-22,622.3,644,622.1,639.9,550
2023-08-23,650,703.8,628.1,645.2,2185
2023-08-24,658.1,658.1,645,645,620
2023-08-27,632.5,640,626,626.8,2625
2023-08-28,615,628.3,615,625,555
2023-08-29,615,660,615,624.3,1051
2023-08-30,624,664,615.1,641.1,1828
2023-09-03,629.1,641.5,628.5,634.4,2760
2023-09-04,645,648.7,625,633.1,1050
2023-09-05,630,650.7,625.2,628.2,1799
2023-09-07,639,691,630,691,8335
2023-09-10,690,760.1,686,760,3187
2023-09-11,760,822.6,703.1,740.6,6832
2023-09-12,755.4,814.6,725.8,814.6,11954
2023-09-13,830.8,896,768,896,4997
2023-09-17,878.1,985.6,806.5,985.6,14857
2023-09-18,965.9,965.9,887.1,887.1,4213
2023-09-19,869.4,975.8,802.1,975.8,10055
2023-09-21,956.3,1073.3,878.3,1050,17875
2023-09-24,1029,1029,945,945,1456
2023-09-25,926.1,926.1,850.5,850.5,3087
2023-09-26,833.5,935.5,785.2,935.5,19277
2023-09-27,916.8,916.8,842,842,5125
2023-10-01,825.2,825.2,789.1,796,4015
2023-10-02,782,821,755,809,3963
2023-10-03,792.9,824,780,797,2288
2023-10-04,782,809,782,797,1220
2023-10-05,811.5,812,788.9,794.3,2547
2023-10-08,779.2,793.9,763.7,767,1775
2023-10-09,766,785,751,766,1942
2023-10-10,752.1,765.7,740,750,1430
2023-10-11,740,750,725,736,2321
2023-10-12,730,730.1,696,711,2540
2023-10-16,697,697.5,669.5,683.7,1700
2023-10-17,680.1,704,674,695,1860
2023-10-18,683,710,683,701.1,1508
2023-10-19,715,715,696,709,1432
