timestamp,open,high,low,close,volume
2020-10-29,110,116,110,116,769150
2020-11-01,119,122.5,119,122.5,1605340
2020-11-02,126,129.5,126,129.5,283550
2020-11-03,133,137,129,137,346608
2020-11-04,137.5,141,129,132.5,211485
2020-11-05,135,135,124.5,126,279319
2020-11-08,129.5,131,124,130.5,261927
2020-11-09,134.5,135,130,131,237260
2020-11-10,130,132,129,129.5,148395
2020-11-11,126,130.5,126,128.5,57656
2020-11-12,130,130.5,127,129,104720
2020-11-18,130.5,130.5,125,126.5,29940
2020-11-19,128,132.5,125,130,143829
2020-11-22,134,134,127.5,127.5,55770
2020-11-23,129,130,126,128,50638
2020-11-24,124.5,130,124.5,127.5,54759
2020-11-25,127.5,135,127,135,328688
2020-11-26,135.5,141,131.5,132.5,176095
2020-11-29,133.5,135,130,132,72630
2020-11-30,132,135.5,129.5,134.5,85580
2020-12-01,133.5,135.5,130,131.5,69010
2020-12-02,130.5,135,129,130.5,52005
2020-12-03,132,132.5,129.5,129.5,71987
2020-12-06,128,135.5,126,126,49295
2020-12-07,127.5,129,126,128.5,31125
2020-12-08,130,131.5,128,129.5,47902
2020-12-09,133,134,129.5,131,104746
2020-12-10,130,132.5,128.5,131,36137
2020-12-13,132.5,132.5,128,130,62850
2020-12-14,131,133,128.5,128.5,34291
2020-12-15,130,130,127.5,129,36110
2020-12-16,127.5,129.5,126.5,127.5,12840
2020-12-17,126.5,127.5,124,126.5,69225
2020-12-20,125,127.5,120,121,20990
2020-12-21,120,124,114.5,119.5,23675
2020-12-22,122.5,126,121.5,123.5,22635
2020-12-23,123.5,124.5,120,120,20196
2020-12-24,121,123.5,120.5,120.5,10750
2020-12-27,120.5,122.5,120.5,121,10252
2020-12-28,121.5,123,120.5,120.5,5155
2020-12-29,120.5,123.5,120.5,121.5,23640
2020-12-30,122.5,125,120.5,123,34885
2020-12-31,124,127,123,126,62785
2021-01-03,126,127.5,123.5,123.5,28170
2021-01-04,124.5,126.5,123.5,123.5,36896
2021-01-05,123,130.5,123,128,53023
2021-01-06,131.5,131.5,126,127,13107
2021-01-07,127,127.5,124.5,126,23570
2021-01-10,127.5,128,123.5,124.5,18678
2021-01-11,125,127,123.5,123.5,16040
2021-01-12,122.5,127,122.5,125,25095
2021-01-13,121.5,128,121.5,125,26253
2021-01-17,125,125,123.5,123.5,20853
2021-01-18,123.5,125,123.5,123.5,18435
2021-01-19,124.5,125,122.5,122.5,26348
2021-01-20,122,125,122,125,29909
2021-01-21,125,129.5,123,129,118302
2021-01-24,131,136.5,130,136.5,327084
2021-01-25,140.5,145,135,141,317708
