timestamp,open,high,low,close,volume
2025-11-11,391.7,407.4,391.7,407.4,30
2025-11-12,413.4,421.6,413.4,421.6,20
2025-11-13,419.9,438.6,419.9,438.6,30
2025-11-17,433.2,465.3,433.2,465.3,60
2025-11-18,474.6,484,474.6,484,20
2025-11-19,477.7,523.6,477.7,523.6,50
2025-11-23,534,566.5,534,566.5,40
2025-11-24,577.8,623.1,577.8,623.1,60
2025-11-25,611,674.4,611,674.4,60
2025-11-26,661.3,741.8,661.3,741.8,70
2025-11-27,727.6,815.9,727.6,815.9,80
2025-11-30,809.3,897.4,809.3,897.4,160
2025-12-01,896.2,987.1,896.2,987.1,130
2025-12-02,986.9,1085.8,986.9,1085.8,70
2025-12-03,1083.2,1194.3,1083.2,1194.3,110
2025-12-07,1194.1,1313.7,1194.1,1313.7,190
2025-12-08,1313.6,1445,1313.6,1445,150
2025-12-09,1444.9,1589.5,1444.9,1589.5,140
2025-12-10,1621.2,1748.4,1621.2,1748.4,130
2025-12-11,1723.7,1923.2,1723.7,1923.2,310
2025-12-14,1961.6,2115.5,1961.6,2115.5,460
2025-12-15,2157.8,2327,2157.8,2327,450
2025-12-16,2373.5,2559.7,2373.5,2559.7,630
2025-12-17,2610.8,2815.6,2610.8,2815.6,570
2025-12-18,2815.6,3097.1,2815.6,3097.1,6010
2025-12-21,3159,3400,2860.2,2900,44290
2025-12-22,2900,2900,2740,2740.1,22540
2025-12-23,2690,3014.1,2690,2882,7680
2025-12-24,2890,2890,2806.8,2828.9,4400
2025-12-28,2801,2828.9,2770.1,2781,7650
2025-12-29,2833,2833,2730,2750,5838
2025-12-31,2750,2800,2745.3,2764,5950
2026-01-01,2750,2830,2742.3,2770,5516
2026-01-04,2750,2933.8,2736,2879,9435
2026-01-05,2879.1,3139,2840.1,3088.9,11487
2026-01-06,3088.9,3195,2961,2999,7992
2026-01-07,2942,3000,2870,2894,7166
2026-01-08,2894,2929.5,2866.1,2886,5527
2026-01-12,2886,2930,2851,2885,4683
2026-01-13,2871,2920,2871,2890,5018
2026-01-14,2926,2927.9,2846,2846,4876
2026-01-18,2900,2965,2867,2930,6876
2026-01-20,2988.6,3039.8,2968,3005,6691
2026-01-21,3005,3030,2945.1,2972,5281
2026-01-22,2945,3000,2935.4,3000,4507
2026-01-25,3000,3299.9,3000,3270.1,9114
2026-01-26,3300,3300,3160,3180,9085
2026-01-27,3240,3240,3032,3032,9364
2026-01-28,3031.5,3089,3000,3070,5486
2026-01-29,3095,3110,3000,3031,6008
2026-02-01,2972,3010,2950,2960,3978
2026-02-02,2960,3050,2926,2999,4063
2026-02-03,2952,3050,2952,2990,2726
2026-02-04,2988,3002,2960,2960,3015
2026-02-05,2950,2994.9,2950,2987,3647
2026-02-08,2980,3020,2943,2943,2713
