timestamp,open,high,low,close,volume
2025-12-10,319.8,351.7,319.8,351.7,300
2025-12-11,358.7,386.8,358.7,386.8,320
2025-12-14,379.5,425.4,379.5,425.4,500
2025-12-15,433.9,467.9,433.9,467.9,460
2025-12-16,461.8,514.6,461.8,514.6,560
2025-12-17,524.8,566,524.8,566,640
2025-12-18,577.2,622.6,577.2,622.6,1070
2025-12-21,635,684.8,635,684.8,1840
2025-12-22,676.7,753.2,676.7,753.2,64350
2025-12-23,768.2,816,766,806,391371
2025-12-24,806,840,791.1,815,179261
2025-12-28,798.7,805,781.7,800,238510
2025-12-29,800,880,800,880,271908
2025-12-31,870,968,870,968,96982
2026-01-01,987,1064.8,973,1056,226280
2026-01-04,1034.9,1144,995,1121,290504
2026-01-05,1098.6,1233.1,1098.6,1233.1,146092
2026-01-06,1257.7,1356.4,1255,1300,188305
2026-01-07,1326,1326,1190,1190.1,217502
2026-01-08,1190,1295,1169,1258,161155
2026-01-12,1232.9,1383.8,1209,1383.8,318411
2026-01-13,1411.4,1502,1377.9,1410.1,242010
2026-01-14,1410.1,1439.9,1365,1385,157437
2026-01-18,1385,1500,1370,1480,258416
2026-01-20,1509.5,1588,1509.5,1560,172385
2026-01-21,1565,1588,1525,1555,151540
2026-01-22,1550,1710.5,1540,1710.5,202436
2026-01-25,1744.7,1881.5,1744.7,1881.5,128089
2026-01-26,1919.1,2069.6,1881.5,2069.6,251200
2026-01-27,2110,2255.9,1881,2015,274221
2026-01-28,2055.3,2159.9,2022.7,2132,237756
2026-01-29,2174.6,2210,1940,1940,254144
2026-02-01,1920,2010,1822.1,1846.1,284858
2026-02-02,1855,2030.7,1855,2030.7,194676
2026-02-03,2071.3,2233,2071.3,2128.9,273987
2026-02-04,2171.4,2171.4,2045,2075,286844
2026-02-05,2075,2150,2075,2115,255450
2026-02-08,2115,2155,2019.1,2019.1,202578
2026-02-09,2020,2050,1900,1939,273774
2026-02-10,1939,2014.9,1918,1933,162032
2026-02-11,1933,2011,1896,1910,143236
2026-02-12,1948,1974,1852,1892,229050
2026-02-16,1892,1979.9,1892,1960,177335
2026-02-17,1965,1980,1901,1906,145770
2026-02-22,1870,1938,1818,1822,170423
2026-02-23,1788,1887,1762,1770,159678
2026-02-24,1780,1875,1780,1871.1,207908
2026-02-25,1845,1950,1845,1898.9,122755
2026-02-26,1895,1916,1830,1855,83064
2026-03-01,1835,1860,1807,1840.4,120554
2026-03-03,1840.4,1895,1815,1885,132134
2026-03-09,1922.7,2040,1922.7,2030,14261
2026-03-10,2060,2060,1930.6,1940,206056
2026-03-11,1902,1978,1883,1891.1,142698
2026-03-12,1891.1,1917.9,1840,1850,158269
2026-03-15,1850,1887,1825,1833,82835
2026-03-16,1833,1897,1812,1866,200933
2026-03-17,1878,1889.9,1830,1838.1,100790
2026-03-19,1838,1912,1802,1855,184387
2026-03-22,1855,1897,1845,1865,193835
2026-03-23,1827.7,1870,1827.7,1855,120648
2026-03-24,1855,1920,1840,1875,147624
2026-03-25,1838,2031,1838,1940,231213
2026-03-26,1940,2065,1940,2019.9,357168
2026-03-29,2010,2020,1925.1,1926.1,199954
2026-03-30,1920,1960,1887.6,1893,172198
2026-03-31,1893,1916,1847,1899.9,199349
2026-04-01,1871,1899,1830,1843,144439
2026-04-02,1806.2,1880,1806.2,1845,194397
2026-04-05,1808.1,1830,1717.2,1759,172225
