timestamp,open,high,low,close,volume
2023-04-10,295,324.5,295,324.5,206247
2023-04-11,330.9,342,304,313,158845
2023-04-12,306.8,334,306.8,331.5,82281
2023-04-13,338.1,338.1,318.5,321,49161
2023-04-16,319,320,308,309,62246
2023-04-17,304,315,304,314.6,41883
2023-04-18,308.4,320,303,320,38845
2023-04-19,315,323.3,311,322,51534
2023-04-20,316.1,323.9,313,313,38607
2023-04-23,306.8,315,306.8,309.1,51344
2023-04-24,309,310,304.6,310,43827
2023-04-25,303.9,316,303.9,314,49440
2023-04-26,310,313,305.3,309.1,37495
2023-04-27,304.5,308,303.3,304.1,19920
2023-04-30,299,304,290,290.5,47675
2023-05-02,290,295.8,278,280.2,27150
2023-05-03,275.3,280,275.1,280,22249
2023-05-04,276,291,275,285,18340
2023-05-07,285,290.7,275,275.2,22604
2023-05-08,273,274,265,265.4,30467
2023-05-09,264.9,276,261.4,274,30361
2023-05-10,274,275,266.4,270,10705
2023-05-11,265,271.5,264.2,270,9995
2023-05-14,270,272,262.1,262.3,11859
2023-05-15,260,267.7,256.1,259,9090
2023-05-16,255,267,255,264,11341
2023-05-17,263.9,271.9,261,270,21643
2023-05-18,266,278,266,277.1,27118
2023-05-21,275.1,287,269.7,270,26895
2023-05-22,267.3,277.7,265,268,13041
2023-05-23,270,280,269,279,42247
2023-05-24,279,284.4,271,272.1,25789
2023-05-28,271.5,286.9,270.1,272.7,60485
2023-05-30,272.8,278.1,264.2,267.6,31611
2023-05-31,262.3,273,258,258,39699
2023-06-01,256,266,255,264.9,24346
2023-06-04,265,279.8,264.9,275,29107
2023-06-05,270.1,284,270.1,271.3,22730
2023-06-06,266.1,286.6,266.1,286.6,43446
2023-06-07,286,295,284.5,286.9,72579
2023-06-08,285,289.6,282,287.9,47264
2023-06-11,287,298.8,285,298,73241
2023-06-12,293.6,303,290,292,41705
2023-06-13,286.2,303.9,286.2,298,56979
2023-06-14,297,308,293.1,296.1,70933
2023-06-15,296,315,296,311.1,144975
2023-06-18,311,336,311,336,118836
2023-06-19,330,341.9,323,331.1,90988
2023-06-20,331.1,337.7,318,320,70288
2023-06-21,320,320,310.1,311,65350
2023-06-22,305,317,301,304,52462
2023-06-25,300.2,317.1,299,315,70615
2023-06-26,309.1,330,308,315,49073
2023-06-27,310.1,318,306,318,40530
2023-06-28,318,320,307,309,48491
2023-07-02,305,312,297,300,43865
2023-07-03,294.1,304.9,294.1,298.9,40957
2023-07-04,297,302,294,302,28550
2023-07-05,297,320,294,294,24221
2023-07-06,299,299,289.7,295,15597
2023-07-09,290,305,290,292.1,16637
2023-07-10,292.1,315,289.2,289.4,35427
2023-07-11,289.4,295.1,281,288.8,19756
2023-07-12,284,308.7,283.3,299,35919
2023-07-13,302,304.5,285.2,286,25252
2023-07-16,282,293,282,285,12395
2023-07-17,281,293,281,289,14446
2023-07-18,289,294,285.1,286.3,16187
2023-07-19,292,297,281.3,285,15790
2023-07-20,281,292,281,289,18448
2023-07-23,289,294.5,284.4,293,19154
2023-07-24,289,297,288,294,26471
2023-07-25,289,295,288.4,290.2,15262
2023-07-26,290,295,285.1,287.2,18894
2023-07-27,287.1,290,282.5,285,8399
2023-07-30,285,288,279,279.3,17496
2023-07-31,276,282.1,275.7,277,14640
2023-08-01,272.9,282.5,270,271,15486
2023-08-02,271,272,266.1,268,7008
2023-08-03,267.1,273,267.1,270,12707
2023-08-06,268.2,270,261.1,264.1,12385
2023-08-07,259.1,269.2,259.1,264,10730
2023-08-08,259,268,257,259,17790
2023-08-09,257.5,269.3,254.1,269.3,13878
2023-08-10,264.1,274,260.9,266.8,17720
2023-08-13,263,265,258,258.9,24667
2023-08-14,254.1,266,254.1,256,18625
2023-08-15,256,257,251,252,18515
2023-08-16,251,255,248,249.5,13795
2023-08-17,248,264,245.2,250.5,10568
2023-08-20,247,250,244.3,244.6,9217
2023-08-21,241,246,241,243,10943
2023-08-22,247,252,242,251,10390
2023-08-23,247,274,246.2,260,16796
2023-08-24,255,265,248.5,248.6,11550
2023-08-27,244.1,253.5,244.1,245.7,12888
2023-08-28,242.1,250.9,242.1,246.3,7464
2023-08-29,246,251,242.3,249,9262
2023-08-30,245.6,250,245,250,7565
2023-09-03,245,259,241.2,242,13620
2023-09-04,238,260.1,238,244.1,4575
2023-09-05,240.4,255,239.7,245,10796
2023-09-07,243,247,240,240.2,9189
2023-09-10,239.1,245,239,241,9663
2023-09-11,237,250,237,246,11610
2023-09-12,244.3,250,234.8,239.1,12021
2023-09-13,237.4,249,237.4,247,10167
2023-09-17,242.1,246,238,238,12510
2023-09-18,236.2,250,236.2,245,13180
2023-09-19,248,256,240.6,255,14940
2023-09-21,260,268.3,254,261.1,27994
2023-09-24,258,272.3,254.3,257.2,23609
2023-09-25,252.3,265.2,251.1,255,14629
2023-09-26,259,270,255.1,270,24380
2023-09-27,264.6,266,260,262.9,24166
2023-10-01,262,262,252,255,14625
2023-10-02,251,260.1,247.4,259,9590
