timestamp,open,high,low,close,volume
2021-10-31,177.1,179.6,177.1,179.6,20
2021-11-01,179.6,184.75,179.6,184.75,22
2021-11-02,187.4,192.9,187.4,192.9,38
2021-11-03,194.35,200.1,194.35,200.1,40
2021-11-08,200.1,215.1,200.1,215.1,130
2021-11-09,218.4,231.6,218.4,231.6,170
2021-11-11,235.2,249.75,235.2,249.75,309
2021-11-14,253.7,269.7,253.7,269.7,530
2021-11-15,274.05,291.65,274.05,291.65,3302
2021-11-16,296.45,315.8,296.45,315.8,2260
2021-11-17,321.1,342.35,321.1,342.35,1840
2021-11-18,348.15,371.55,348.15,371.55,40896
2021-11-21,377.5,377.95,351,358,25206
2021-11-22,358,358,345,350,14200
2021-11-23,344,347.5,342.5,344,6265
2021-11-24,345,349.85,327.2,337.5,8705
2021-11-25,335.5,343.5,334.6,335,7276
2021-11-28,329.3,345.8,313,324.05,9850
2021-11-29,320,332.5,319,323.15,5680
2021-11-30,323,345.45,319,342.5,5912
2021-12-01,342.5,347.5,328,335,3338
2021-12-02,329.5,335,322,332.5,8735
2021-12-05,335,335,314.6,324.95,5217
2021-12-06,319.5,330,303.5,319.95,6515
2021-12-07,315,325,307.5,312.45,6517
2021-12-08,307.55,309,299.5,304.5,4730
2021-12-09,300,313.5,300,303.5,3765
2021-12-12,298.5,303.5,280.65,294.95,5500
2021-12-13,290.1,294.9,272.5,272.5,3131
2021-12-14,272.5,294.75,268.5,294.75,2824
2021-12-15,299.6,305,275.75,290.25,6477
2021-12-16,290,295,276.95,277.05,3080
2021-12-20,276.95,276.95,260,265,3160
2021-12-21,265,269.3,257.55,258,7301
2021-12-22,262,276,262,271.5,6721
2021-12-23,270,279.5,262.7,265,4101
2021-12-26,265,272.5,262.55,267.2,2611
2021-12-27,263,267,257,257.5,3090
2021-12-28,253.5,265.5,252,259.5,3243
2021-12-29,255.35,261,252.5,257.5,2891
2022-01-02,254,264.45,254,264,2170
2022-01-03,260,265,257.75,263.65,2585
2022-01-04,262.5,265,254.05,263,1800
2022-01-05,265.5,280,262.5,274.5,11440
2022-01-06,274.5,296.95,266,296.95,15247
2022-01-09,297,315,293.55,311,15407
2022-01-10,306,325.4,300.5,308.5,7729
2022-01-11,308.5,312.5,302.5,309.5,6316
2022-01-12,307.5,309,297.5,298,15279
2022-01-13,302.5,307.5,293.05,306.5,3810
2022-01-16,306.5,321.5,301.4,318.5,24382
2022-01-17,323.85,323.85,309.7,323.5,16720
2022-01-18,320,336.15,315.65,334.5,16461
2022-01-19,329,342.5,321,339,11092
2022-01-20,339,367.9,328.5,367.9,39442
2022-01-23,367.9,376,357.5,367.5,24095
2022-01-24,367.5,372.5,336.65,349.5,25768
2022-01-25,343.55,355.45,335,344.95,11375
2022-01-26,342.5,350,325,341,10531
2022-01-27,337.5,349,333.25,349,6338
2022-01-30,354.95,358.5,347.6,354.55,15837
2022-01-31,350.05,363.5,344,353.5,11061
2022-02-01,352.5,360,348,355.5,10548
2022-02-03,356.5,381.5,356.5,367.5,26223
2022-02-06,365,367.5,352.5,353.5,13698
2022-02-07,347.45,368.8,347.45,356,7990
2022-02-08,362.1,368,344.5,346.05,10431
2022-02-09,346.05,351.6,338.1,347,3959
2022-02-10,342,345.8,335,342.3,7840
2022-02-13,336.5,336.5,323,323.5,8366
2022-02-14,318.05,330,318.05,326,2717
2022-02-15,320.55,350,320.55,350,5415
2022-02-16,350,350,335,343.5,7512
2022-02-17,349,371.3,338.15,362.5,32814
2022-02-20,368.75,393.75,345,389.5,49835
2022-02-21,387.5,414,385,405,27533
2022-02-22,405,440.15,398,429,24134
2022-02-23,436.55,462.5,421.45,462.5,39640
2022-02-24,454.5,462,431.5,460.5,26523
2022-02-27,452.5,456,442.5,444,26449
2022-02-28,450,450,404.6,404.6,25503
2022-03-02,397.55,400,370.65,385,17737
2022-03-06,385,396.5,379.5,387,9810
2022-03-07,383,391.7,378.5,387.5,11784
2022-03-09,381,382.5,370,377.5,5760
2022-03-10,371.5,384.5,364,382.5,22639
2022-03-13,389.15,395,375.5,381.5,22443
2022-03-14,382.5,389.1,381,385,5475
2022-03-15,381.5,387,375,382.25,12222
2022-03-16,376,384,372.55,376.5,7436
2022-03-20,383,383,368.5,373.5,5075
2022-03-21,373.5,383.5,367.5,378,5260
2022-03-22,375,382.5,371,371,4745
2022-03-23,367.5,374.5,366,367.5,3484
2022-03-24,364,367.5,357.5,362,11904
2022-03-27,356.05,362,344.05,349.5,5763
2022-03-28,344,352.5,344,348.5,6347
2022-03-29,343,355,340.05,345.95,4222
2022-03-30,341,365,341,365,9281
2022-03-31,358.8,364.5,350,355,8470
2022-04-03,348.9,355,347,351.5,4357
2022-04-04,345.5,352.45,340,349.5,2295
2022-04-05,344,349.5,335,337.5,6453
2022-04-06,332.5,339.5,322.55,333.5,4751
2022-04-07,328,347,328,334.95,7998
2022-04-11,331,345.95,320,326,6384
2022-04-12,325,325,310.25,312.5,4800
2022-04-13,317.5,322,308.5,315,4768
2022-04-17,315,317.5,302.5,306.5,3288
2022-04-18,301.5,305,287,299.9,5165
2022-04-19,298.25,302.5,284.05,302.45,4383
2022-04-20,297.45,297.45,280.15,287,4053
2022-04-21,290,291.45,273.5,284.95,4278
2022-04-24,289.6,308.35,282.5,301.6,5851
2022-04-25,303.5,306,290.55,293.5,4633
2022-04-26,293.5,298.35,288.7,291,1936
2022-04-27,295,300,285.5,289,5461
2022-04-28,292.5,297.5,282.55,284.5,5587
2022-05-02,279.85,281,275,278.5,3548
2022-05-04,278.5,278.5,266.05,270,4950
2022-05-05,266,267.5,257.5,260,4425
2022-05-08,255.8,267,252,263.5,2717
2022-05-09,262,273.95,260,273.95,5877
2022-05-10,269.5,284.5,263,281.5,4795
2022-05-11,277,292,271,292,5826
2022-05-12,287.2,307,279,307,10111
2022-05-17,302,302,281.3,290,8240
2022-05-18,285.2,290,277.6,290,2411
2022-05-19,285.2,291.95,271.05,291.95,7254
2022-05-20,287.15,287.4,268.9,280,3641
2022-05-23,284.5,284.5,267.5,267.5,1825
2022-05-24,271.5,275.4,263.5,271.45,2638
2022-05-25,275,280,267.1,279.5,3977
2022-05-26,274.95,279.35,270.65,273.5,1525
2022-05-27,269.05,282,267.5,271,2870
2022-05-30,267,271.3,262.3,265,510
2022-05-31,260.7,269.3,259.5,263.5,3648
2022-06-01,265,267.5,256.5,266.05,1955
2022-06-02,269,269,260.4,261.55,1443
2022-06-03,258.5,262.45,257.5,261.95,728
2022-06-06,260,267.95,257.75,260.05,2474
2022-06-07,257.5,257.5,250.55,255.5,1225
2022-06-08,255.5,274.9,253.5,274.9,3823
2022-06-09,274.5,277.4,263.5,274,5145
2022-06-10,270,278.45,262.5,278.45,4087
2022-06-13,278.45,287.15,264.6,287.15,3295
2022-06-14,282.45,287,267.5,287,6340
2022-06-15,282.5,282.5,263.3,275.5,7708
2022-06-16,272.5,280.5,263.15,280.5,3131
2022-06-17,275.9,284.5,263.05,284.5,2235
2022-06-20,279.85,279.85,261.05,261.05,9140
2022-06-21,256.85,275.9,248.7,255,6389
2022-06-22,259.1,267.5,245,261,4783
2022-06-23,258.5,258.5,240.55,247.5,2109
2022-06-24,243.55,261.5,229,257.3,5134
2022-06-26,254,268.25,246.5,268.25,8106
2022-06-27,268.25,268.25,252.5,252.5,3535
2022-06-28,248.45,256,244.5,256,3595
2022-06-29,252.5,258.95,250,255.5,3380
2022-06-30,258.5,262,253,259.45,3536
2022-07-01,260.5,268.25,257.5,261.95,4340
2022-07-03,262,279.5,255,279.5,10180
2022-07-04,279.5,299.6,268.05,270,14283
2022-07-05,269,287.7,266.05,270.5,5210
2022-07-06,274.5,287.65,262.55,287.65,4863
2022-07-07,290,290,271.5,282,7505
2022-07-08,277.5,281.95,268.5,272.45,4395
2022-07-11,276.85,276.85,256.55,264,4500
2022-07-12,260,263.5,256.5,258.15,5000
2022-07-13,254,266,254,263,8786
2022-07-14,267,267,258.9,263,2016
2022-07-15,259,263,259,263,867
2022-07-17,259.1,268,259.05,265.7,3506
2022-07-18,264,265.5,260,263.55,1338
2022-07-19,267.8,270,263.45,269.5,5789
2022-07-20,267,267.45,265,266.5,2843
2022-07-21,262.55,266.5,260,262,3641
2022-07-22,257.8,261.5,255,255,2185
2022-07-24,259.1,266.5,256,266.5,2532
2022-07-25,265,276.5,265,276.4,7936
2022-07-26,280,288.5,271.9,280,21404
2022-07-27,279.2,296.5,275,295,13894
2022-07-28,291.5,305,286,295,10511
2022-07-29,290.15,299.75,285.6,291.5,1900
2022-07-31,291.5,301,291,292,7800
2022-08-01,296.8,296.8,287.5,290,5906
2022-08-02,289,300.5,286.5,299,14451
2022-08-03,300,323.85,300,309,18313
2022-08-04,310.5,320,305,307,16843
2022-08-05,302,306,293.05,293.05,10776
2022-08-07,297.9,317.35,292.6,316.5,26024
2022-08-08,316.5,326.5,307,309,13422
2022-08-09,304,307.5,295.5,295.5,7186
2022-08-10,291.55,296.5,286.5,295,5093
2022-08-11,298.5,299,283.5,284,11437
2022-08-14,279.55,288.5,274,274,7586
2022-08-15,269.55,296,269.55,288.45,4597
2022-08-16,293,297.35,281,283,8137
2022-08-17,280,297,279.5,282.5,3280
2022-08-18,287.15,292.95,284,292,3251
2022-08-21,296.5,296.5,284,289.5,4056
2022-08-22,285,291.7,280.3,290,572
2022-08-23,285.2,289.9,282.3,287.45,1607
2022-08-24,285,289.5,281.05,284.5,1172
2022-08-25,280.5,287,277.5,278.1,2446
2022-08-26,275.5,280,269,273.5,5435
2022-08-28,269.1,277,262.5,266.5,3652
2022-08-29,262.5,270.5,261,263,4996
2022-08-30,266.5,267.25,261,262.5,3930
2022-08-31,265,265,257.55,258,2781
2022-09-01,256.05,266.35,256.05,260.05,4395
2022-09-02,264,266,257,259,8035
2022-09-04,262.5,263.15,256.1,260,7876
2022-09-05,255.8,262,255.8,257.8,2015
2022-09-06,256.5,260.6,250,252.5,5814
2022-09-07,248.5,255,248.5,253.5,1990
2022-09-08,250.5,261,250.5,259.5,2250
2022-09-11,255.35,259.55,251.35,256,632
2022-09-12,253,256.7,252.5,254.95,1905
2022-09-13,251.05,260.6,251.05,256.5,1430
2022-09-14,257.5,266.75,257.5,262,3543
2022-09-15,258,262.15,249,250,10433
2022-09-16,246,250,242.55,248.85,1899
2022-09-18,248.85,248.85,240.3,246,2974
2022-09-20,242.1,249.75,235.15,249.75,861
2022-09-21,253.45,257.45,244,249.4,2135
2022-09-22,245.5,247.5,241.1,241.1,2495
2022-09-25,237.5,237.5,226,226,4164
2022-09-27,223,233,223,230.5,2345
2022-09-28,227,233.5,225.5,225.5,1100
2022-09-29,227.5,230.5,222.75,222.75,2695
2022-10-09,222.55,232.5,222.55,228.35,1645
2022-10-10,230,230,211.5,221.5,8286
2022-10-11,224.5,224.9,215.75,220,490
2022-10-12,217.5,222,215,218.5,1735
2022-10-13,217.6,223.4,215,217,2519
2022-10-16,216,217.55,210.05,214.5,1610
2022-10-17,217.5,217.5,212.5,213.5,855
2022-10-19,210.25,212.45,207.15,212.45,2145
2022-10-20,215.65,215.65,206.3,211.5,2340
2022-10-23,208.3,211.45,205.5,211.45,202
2022-10-31,208.5,212.5,205.1,210.5,990
2022-11-01,211,220,207.3,219.9,4428
2022-11-02,220,226.85,217.5,225,4086
2022-11-03,222.5,226.5,219,226.5,1720
2022-11-06,223,229.75,220,229.75,1560
2022-11-07,233,233.55,222.5,225,2925
2022-11-08,222.5,224.55,219.5,219.55,2672
2022-11-09,217,219.8,214.15,217.5,1709
2022-11-10,215,221.5,211.5,211.5,1413
2022-11-13,210,213.5,208.15,208.15,2428
2022-11-14,205.65,217.9,205.6,211.9,1532
2022-11-15,215.1,220.45,210.05,210.05,3940
2022-11-16,212.5,218.8,212.5,217.5,4820
2022-11-17,220.5,226.9,218.55,223.6,4092
2022-11-22,227,227.05,218.15,221.5,2826
2022-11-23,218.5,219,216,216,734
2022-11-24,217.9,217.95,213.7,217.95,330
2022-11-27,215.1,223.4,215.1,223.4,360
2022-11-28,220,224,219.5,219.5,1080
2022-11-29,216.5,220,214.55,218,2368
2022-11-30,216.5,224.5,215.05,221,577
2022-12-01,220,221,214,218.55,3979
2022-12-04,217.5,223.45,216.25,219.8,1866
2022-12-05,216.55,219.5,215.5,217.5,5320
2022-12-06,214.2,218,214.2,217.95,2747
2022-12-07,220,220,212.25,214.5,108
2022-12-11,211.25,212.5,209,210.25,390
2022-12-12,210,215.45,208.5,215.45,1789
2022-12-13,215.5,215.5,209,210,2001
2022-12-14,209,212.5,209,209,880
2022-12-15,209,214.7,207.5,207.6,1864
2022-12-18,205.5,207.45,204.5,205.05,1770
2022-12-19,201.95,206.3,201.95,206.05,1097
2022-12-20,206,213.2,206,208.55,1320
2022-12-21,205.6,219.15,205.6,211.05,4006
2022-12-22,207.85,211,205,209,3005
2022-12-26,206.95,217.5,206.95,217.5,6552
2022-12-27,220,234.25,216.6,234,10741
2022-12-28,230.35,248.35,223.6,244.8,16416
2022-12-29,240.95,253.5,237.5,253.45,17581
2023-01-01,250,260,248,251.95,13626
2023-01-02,255.95,255.95,240.05,247,11653
2023-01-03,250,262.2,241,242.75,14377
2023-01-04,240,260.5,239,260.5,19300
2023-01-05,257.55,262.15,252.5,256.5,13804
2023-01-08,253,267.5,253,257.6,21343
2023-01-09,260,263.5,256.5,261.5,13216
2023-01-10,260.6,282.5,256.5,256.55,17697
2023-01-12,258.5,266.7,251.05,252.5,10976
2023-01-17,253,269,248.5,262.5,15718
2023-01-18,259,271,259,261.5,10220
2023-01-19,257.55,270,257.55,265.5,2550
2023-01-23,261.7,264.95,258,258,3720
2023-01-24,255,257.5,254.55,255.15,3370
2023-01-25,255.5,270,255.5,265,4612
2023-01-26,265,269,261.1,265.5,5389
2023-01-29,265,275.95,260.75,269.5,10930
