timestamp,open,high,low,close,volume
2023-08-13,255,280.5,255,280.5,3951
2023-08-14,286.1,308.5,286.1,308.5,8672
2023-08-15,314.6,339.3,277.7,287.1,56896
2023-08-16,281.4,303,264.9,294,16159
2023-08-17,288.2,291.3,271.5,287,10938
2023-08-20,282,285.9,267.1,272.6,11601
2023-08-21,269,272,261,261,6816
2023-08-22,260,264.9,253,257,5900
2023-08-23,257,269.2,253,266,14937
2023-08-24,261,263,254.3,257,6972
2023-08-27,251.9,253,245.1,247,6217
2023-08-28,243,256,240,241,4331
2023-08-29,240,255,230.6,237,8770
2023-08-30,232.3,235.7,227.7,231,10631
2023-09-03,231.1,254.1,231.1,254.1,17722
2023-09-04,250,279.5,245,279.5,25428
2023-09-05,274,307.4,274,295,30903
2023-09-07,289.1,317,284,317,26341
2023-09-10,310.7,343.7,294,343.7,32028
2023-09-11,336.9,378,310.9,378,36763
2023-09-12,370.5,370.5,340.2,340.2,13382
2023-09-13,333.4,333.4,308,313,31300
2023-09-17,307,344.3,307,337.7,60120
2023-09-18,331,371.4,331,371.4,31462
2023-09-19,364,408.5,364,408.5,30301
2023-09-21,400.4,449.3,395,449.3,63479
2023-09-24,440.4,493,404.4,493,67281
2023-09-25,483.2,483.2,443.7,443.7,16499
2023-09-26,434.9,434.9,399.4,419,43195
2023-09-27,410.7,414.2,395,402.1,23671
2023-10-01,394.1,399,367.6,370,23847
2023-10-02,362.7,399,350,394.9,17718
2023-10-03,387.1,402,381,395,11415
2023-10-04,398,410,372,388.1,13416
2023-10-05,395,395,377.1,380,4117
2023-10-08,380,387,357,359,14992
2023-10-09,352,392.6,352,375,13904
2023-10-10,368.1,377.4,357,358,8607
2023-10-11,351,372,351,354.3,6217
2023-10-12,352,366,341,350,7649
2023-10-16,343,349,330,342.7,9757
2023-10-17,349.5,356,327,330,6540
2023-10-18,330,340.6,330,336,2270
2023-10-19,330,346,330,334.9,3786
2023-10-29,328.3,328.3,315.4,322.3,4285
2023-10-30,315.9,330,315,329.9,2580
2023-10-31,324,326,317,323,2022
2023-11-01,317,329,317,319,3166
2023-11-02,325,325,310,316,4243
2023-11-05,309.7,317,300.3,317,2639
2023-11-06,311.3,323.1,311.3,316.3,2230
2023-11-07,316,328,310.3,320,2633
2023-11-08,320,326,311.1,320,1530
2023-11-09,315,319,307.8,308.7,2970
2023-11-20,314,327.8,310.1,319.9,6150
2023-11-21,314,329.9,314,319.9,7990
2023-11-22,326,351.8,312,351,15796
2023-11-23,344,385,341,381.1,19895
2023-11-26,386.1,396,374.5,390,18096
2023-11-27,390,390,374.6,375.1,12119
2023-11-28,379,380,368.1,375,6089
2023-11-29,375,388,363.7,365,5080
2023-11-30,365,371.9,350,353,7241
2023-12-03,353,388.3,350.5,387,18571
2023-12-04,379.3,407,372,390,18648
2023-12-05,389,395,369.8,375,10765
2023-12-06,382.5,385.9,368.2,373.1,2885
2023-12-07,380,388.1,372.9,376,8886
2023-12-10,380,403.2,380,403.2,50
2023-12-11,411,419.2,397,406,24434
2023-12-12,410,421.4,392,407.1,18153
2023-12-13,410,423,402,407,15610
2023-12-14,400,445.2,399.1,426,18495
2023-12-17,417.5,468.6,417.5,468.6,39207
2023-12-18,477.9,507.1,468.8,474,44644
2023-12-19,466.1,482.3,461.1,479,21991
2023-12-20,488,526.9,463.6,526.9,22481
2023-12-21,537.4,537.4,490.1,504,25724
2023-12-24,494.2,511.7,474,474,29088
2023-12-27,478,521.4,460.6,488,33184
2023-12-28,479.1,497.7,479.1,485,15546
2024-01-01,475.4,496.6,460,473,22757
2024-01-02,464,484,458,462.1,9746
2024-01-03,455,490,438,490,14571
2024-01-04,482,499,482,489,21076
2024-01-07,490,520,479.3,508,34807
2024-01-08,518,558.8,500,535,34197
2024-01-09,545.7,565,527.1,539,19111
2024-01-10,530,560.6,517,524,30522
2024-01-11,523,575,513.7,575,28970
2024-01-14,563.5,632.5,534.1,610,27433
2024-01-16,597.8,655,574.2,600,28751
2024-01-17,588,642.6,559,640,33084
2024-01-18,627.2,627.2,576.1,594,31804
2024-01-21,582.2,636.6,563,566.6,10856
2024-01-22,555.3,615,535.1,546,21734
2024-01-23,535.1,600,535.1,560,25219
2024-01-24,548.8,566.1,539,541.4,13897
2024-01-25,541,559,532.2,556.9,10941
2024-01-28,545.8,569.9,538,558.5,7157
2024-01-29,547.4,586,547.4,555,18855
2024-01-30,543.9,574.5,543.9,568,18822
2024-01-31,557,574.5,550,554,15734
2024-02-01,547,547,520,520,20978
2024-02-04,520,531,520,529.9,11729
2024-02-05,540,540,518,535,3070
2024-02-06,525,542.9,515,542.8,3500
2024-02-07,532,579,532,558,14159
2024-02-08,547,571.3,547,560,8500
2024-02-11,548.8,596,548.8,565,10813
2024-02-12,553.7,571,553.7,570,10384
2024-02-13,558.6,572,537,554,21922
2024-02-14,543,579.9,540,560,11451
2024-02-15,557,557,541,542.2,7051
2024-02-18,531.4,539,512,521,12623
2024-02-20,511,540.6,503,532.5,9937
2024-02-21,532,542.8,521.9,535,15178
2024-02-22,525,544.9,509,530,7477
2024-02-25,540.6,540.6,489.1,490,5660
2024-02-26,485,509,475.3,509,10373
2024-02-27,500,519,490,509,4487
2024-02-28,498.9,508,480.5,500,5080
2024-02-29,490,499.8,472.4,479,8119
2024-03-03,470,488.9,460.6,477.2,3892
2024-03-04,467.7,506.1,467.7,506.1,110
2024-03-05,516.1,516.1,467,481.9,13148
2024-03-06,491.5,499,472.1,478,9045
2024-03-07,487.5,499,472.1,487,10183
2024-03-10,496,496,465.6,484.9,10652
2024-03-12,477.9,493,477.9,483,12657
2024-03-13,492.6,496,480.5,496,9794
2024-03-14,488.3,526.4,488.1,488.1,7088
2024-03-17,480,499,480,494,3027
2024-03-18,486.5,497,486.5,495.9,6596
2024-03-19,495.1,500,486,489,7063
2024-03-20,497.9,498.7,479.1,488,10937
2024-03-21,494,500,480,490,10598
2024-03-25,480.2,509,480.2,492.8,7120
2024-03-26,502.6,534.9,493,526.1,23640
2024-03-27,536.6,556.9,531.1,538,21809
2024-03-28,531,544.9,529,544,10245
2024-03-31,540,545.7,513,515,11834
2024-04-01,515,518,505,510,6083
2024-04-02,500,520,500,508,2865
2024-04-03,501,518.1,500,500,5917
2024-04-04,500,503,493.5,499,7715
2024-04-07,495,529,495,519,4701
2024-04-09,511,554,511,552,28537
2024-04-10,553,559,540.1,540.4,14881
2024-04-14,533,556,533,556,20074
2024-04-15,567.1,567.1,539.3,555,14894
2024-04-16,566.1,566.1,529.2,529.2,8135
2024-04-18,519,527,510.2,515,3401
2024-04-21,510,545,506,540,8375
2024-04-22,530,535.5,515.1,521,2815
2024-04-24,519,523,505,522,8894
2024-04-25,520,529.9,500.1,507,13747
2024-04-28,517,521,496.1,496.1,7128
2024-04-29,496,506.1,493.1,498,22305
2024-04-30,507.9,507.9,489,499,6723
2024-05-02,500,517,487,487,9689
2024-05-05,487,519.9,487,505,9263
2024-05-06,505,510,475.4,510,8582
2024-05-07,499.8,519,499.8,510,9517
2024-05-08,507,517,497,517,15372
2024-05-09,506.7,536,499.9,520,5028
2024-05-12,509.6,529,490,508,8939
2024-05-13,497.9,527,488,507,6342
2024-05-14,497,516.9,497,514,11139
2024-05-15,503.8,540,496,500,7352
2024-05-16,494.2,534,493.1,510,12127
2024-05-19,499.9,520.2,499.9,509,19874
2024-05-20,498.9,513,489,503.8,8398
2024-05-21,512,541,495,535,30659
2024-05-22,524.3,564,504,542,45768
2024-05-26,531.2,540,510.3,520,17561
2024-05-27,509.6,540,509.6,514.4,5510
2024-05-29,515.1,522,505.1,511,7784
2024-05-30,510,510,500,505,11660
2024-06-02,514.5,525.3,502.2,515,5196
2024-06-03,525,525,507,507.1,8738
2024-06-04,507,514.1,504,508,3864
2024-06-05,501.3,510,499,500,3987
2024-06-06,508,511,500,500,5069
2024-06-09,499.2,523,499,515,14881
2024-06-10,523,550,516,535,29045
2024-06-11,535.5,540,529,539,11259
2024-06-12,549.7,549.7,517,535,17979
2024-06-13,525,531,517.1,525,11406
2024-06-16,524,532.4,518.4,523.9,9320
2024-06-18,523,525,518.2,522,5777
2024-06-19,519,530,519,524,9852
2024-06-20,521,563,521,538,30769
2024-06-23,548.4,564,538,559.9,33773
2024-06-24,561,570,546,547,17648
2024-06-25,557.8,566,546.7,561,23733
2024-06-26,569,570,540,546.9,22992
2024-06-27,555,555,536.5,537,9335
2024-06-30,527,546,527,537.3,7222
2024-07-01,526.8,544,526.6,539,2510
2024-07-02,549.7,560.6,531.1,543.9,7821
2024-07-03,537.1,547,537.1,542,5116
2024-07-04,542,562,542,554,16369
2024-07-07,545.4,582,545.4,579,24897
2024-07-08,590.5,595,568,573,15820
2024-07-09,582,582,568.5,577,7357
2024-07-10,579,583.9,572.1,579.5,10106
2024-07-11,583,584.8,572,578,18085
2024-07-14,589.5,601.2,568.3,594,27402
2024-07-15,583,598,583,590,16576
2024-07-16,595,610.4,585,610,18914
2024-07-17,615,615,593,602,17764
2024-07-18,592,662.2,592,662.2,46365
2024-07-21,675.4,705,650.3,676,26420
2024-07-22,662.5,715,653,669,28579
2024-07-23,668,685,649,660,26988
2024-07-24,670,672.9,617.1,621,23576
2024-07-25,630,644,611,617.5,20553
2024-07-28,629.8,629.9,605,627,18964
2024-07-29,627,689.7,627,651,70900
2024-07-30,664,702.9,664,695,34398
2024-07-31,708.9,720,680,687.9,23450
2024-08-01,675,738,664,681,34574
2024-08-05,668,703.8,668,686.1,23185
2024-08-06,675,754.7,675,754.7,84559
2024-08-07,769,799,741,769,25975
2024-08-08,769,810,756,779,27898
2024-08-11,765,856,765,856,43207
2024-08-12,838.9,885,800,840,31108
2024-08-13,846,856.8,793,815,23085
2024-08-14,799,895,799,895,35188
2024-08-15,877.1,965,827,850,32649
2024-08-18,835.1,867,805,841.5,34923
2024-08-21,841.5,878,841.5,860,27194
2024-08-22,842.8,946,842.8,946,46200
2024-08-25,927.1,1040,927.1,1040,36969
2024-08-27,1019.2,1142,950,1142,52580
2024-08-28,1119.2,1231,1027.8,1231,71327
2024-08-29,1206.4,1206.4,1107.9,1107.9,16712
2024-09-01,1085.8,1085.8,997.2,997.2,23167
2024-09-02,977.3,1060,930,1048,41738
2024-09-03,1027.1,1131,987,1031,11544
2024-09-04,1010.4,1074,1010,1071,18600
2024-09-05,1049.6,1133,1001,1125,14953
2024-09-08,1102.5,1102.5,1012.5,1012.5,12602
2024-09-09,992.3,995,922,960,13646
2024-09-10,941,1055,923,1055,76125
2024-09-11,1033.9,1155,949.5,1155,69827
2024-09-12,1131.9,1131.9,1039.5,1039.5,11815
2024-09-15,1018.8,1018.8,935.6,935.6,54764
2024-09-16,916.9,916.9,845,848,17379
2024-09-18,832,895,816,850,8708
2024-09-22,867,868,805,865,11340
