timestamp,open,high,low,close,volume
2025-07-17,366.1,402.7,366.1,402.7,590
2025-07-20,401.5,442.9,401.5,442.9,562
2025-07-21,451.7,487.1,451.7,487.1,510
2025-07-22,496.8,535.8,496.8,535.8,690
2025-07-23,529.3,589.3,529.3,589.3,730
2025-07-24,595.3,648.2,595.3,648.2,1070
2025-07-27,661.1,713,661.1,713,1400
2025-07-28,715,784.3,715,784.3,1223
2025-07-29,799.9,862.7,799.9,862.7,1730
2025-07-30,862,948.9,862,948.9,2381
2025-07-31,967.8,1043.7,967.8,1043.7,15747
2025-08-03,1064.5,1148,1064.5,1148,40112
2025-08-04,1170.9,1262.8,1033.2,1033.2,285335
2025-08-05,1012.6,1025,930,957.27,385673
2025-08-06,940,1052.9,940,1052.9,104497
2025-08-07,1073.9,1140,1010,1052.64,126126
2025-08-11,1031.6,1031.6,975,979.04,165689
2025-08-12,960,987,959.5,967.78,67340
2025-08-13,950,997,950,962.35,44822
2025-08-14,955,971,937,938.61,70398
2025-08-17,920,930,880.1,883.45,111100
2025-08-18,883,905,870,877.67,48779
2025-08-19,870,902.7,870,891.12,33059
2025-08-20,873.3,899,873.3,884.04,27254
2025-08-21,895,895,871.4,874.34,33646
2025-08-24,870.5,885,860,861.5,41048
2025-08-25,852.1,862,846.2,853.32,32775
2025-08-26,850,915,850,881.91,31136
2025-08-27,880,897.5,879,889.2,29108
2025-08-28,879,896,868,869.92,30314
2025-08-31,865,870,850,853.49,37754
2025-09-01,850,850,840.1,846.72,24147
2025-09-02,846,856,830,830.92,27148
2025-09-03,825.1,830,811,811.48,33488
2025-09-04,800,820,792.1,796.88,30509
2025-09-07,800,813,788.2,791.07,20864
2025-09-08,791.2,796,766.5,769.31,28827
2025-09-18,754,754,692.4,692.4,4581
2025-09-21,678.6,760,678.6,745.42,36725
2025-09-23,730.6,772,730.6,768,24224
2025-09-24,768,778,751,753,18540
2025-09-25,754,760,747.2,751,12833
2025-09-28,751,770,751,757,10058
2025-10-07,750,755,736,736,15930
2025-10-08,731,735.5,714,716,18666
2025-10-09,716,758,716,725,17592
2025-10-12,725,725,702,706.1,16797
2025-10-13,706,739,697,735,19186
2025-10-14,725,738.9,712.5,716.2,14200
2025-10-15,717,719.9,701,701,15631
2025-10-16,700,714,690,695,15523
2025-10-19,700,705,692,703.9,9001
2025-10-26,692.1,700,685,700,12407
2025-10-28,712.9,724.3,692,718.9,15316
2025-10-29,733.2,735,710,710,15907
2025-10-30,720,731,703.3,727.9,19207
2025-11-02,729,754,725,754,33363
2025-11-03,754,765,736.3,743,19959
2025-11-04,743,750,723,728,14038
2025-11-05,728,734,718,732.9,9539
2025-11-06,724.1,740,724.1,735,9791
2025-11-09,737,738,709.7,714,19087
2025-11-10,714,727.9,705,714,12486
2025-11-11,706,719.4,706,719,11273
2025-11-12,707.1,719.9,707,707.1,13812
2025-11-13,706,716,705,707,9737
2025-11-16,706,708,701.7,707,11627
2025-11-17,707,714.9,701,708,11386
2025-11-18,709.1,720,709.1,711,21163
2025-11-19,712,756.2,712,754,62943
2025-11-20,754,795.6,743,763,57996
2025-11-23,763,785,755,769.9,46384
2025-11-24,760.1,778.6,755.1,767,28904
2025-11-25,782.3,782.3,754.1,762,31801
2025-11-26,751.2,774.9,751.2,758,23552
2025-11-27,758,776.9,757,773,28745
2025-11-30,775,827,770.1,799,92831
2025-12-01,804,809,786.1,799,34810
2025-12-02,799,800,787.3,789,23170
2025-12-03,773.3,848,773.3,827,126477
2025-12-07,827,851,815.2,824,64722
2025-12-08,820,837.5,801.1,807,59698
2025-12-09,807,822,801.3,805.8,31557
2025-12-10,804,816,775,782,41636
2025-12-11,772,788,766.6,770,27138
2025-12-14,760.2,783,749,753,58841
2025-12-15,755,773,750,764.5,26542
2025-12-16,755,777,755,767,37477
2025-12-17,763.1,791,752.1,778,67708
2025-12-18,775,779,766,767,42367
2025-12-21,758,764.8,740,748,60277
2025-12-22,744.9,745,725.3,727,34226
2025-12-23,720,743.5,720,738.3,24501
2025-12-24,729.1,750,729.1,732,14815
2025-12-28,732,753,732,749,33927
2025-12-29,749,767,745.3,750,43334
2025-12-31,750,784,749,777,58453
2026-01-01,789,810,767,787.8,84688
2026-01-04,772.2,830,772.2,825,106627
2026-01-05,808.5,900,808.5,895,135938
2026-01-06,900,904,836,839,100281
2026-01-07,830,841.8,800,800.1,116330
2026-01-08,785.6,833,785.6,826,82825
2026-01-12,824.1,893,824.1,869.8,164917
2026-01-13,870,889,840,847,106035
2026-01-14,847,855,825,835.2,48797
2026-01-18,840,872.9,835.6,860,93813
2026-01-20,873.1,917,873.1,894,172099
2026-01-21,910,910,867.3,876.5,76951
2026-01-22,877,957,866.1,942.3,153601
2026-01-25,942.3,1025,942.3,1016,207697
2026-01-26,1016,1115,980,1110,277486
2026-01-27,1120,1173,1032,1036.1,232871
2026-01-28,1056.8,1110,1021,1095,210891
2026-01-29,1100,1127,1003.1,1004,167219
2026-02-01,1004,1010,930,940,144459
2026-02-02,940,1030,940,1024,150411
2026-02-03,1030,1056,980,990,104983
2026-02-04,993,1005,964,970,72320
2026-02-05,970,989,951.1,959.1,96422
2026-02-08,978.2,989,946,946,72351
2026-02-09,940,960,906.5,913,93002
2026-02-10,915,948,900,918.1,57531
2026-02-11,936.4,946,896.7,899,50508
2026-02-12,916,925,878.1,899,72151
2026-02-16,905,925,881.3,910,56209
2026-02-17,915,920,888,890.2,51240
2026-02-22,890,895,850,858,50905
2026-02-23,857.1,869.9,846,846.2,33099
2026-02-24,860,895,850,887,39728
2026-02-25,904.7,918,885.1,889,53522
2026-02-26,890.4,895,880,882,28625
2026-03-01,870,900,860.1,896,41881
2026-03-03,900,926.6,886.1,917,50192
2026-03-09,935.3,1008.7,935.3,999,2717
2026-03-10,1018,1018,963,979.8,115728
2026-03-11,976,989.9,936,936,66328
2026-03-12,947.5,955,929,935,48338
2026-03-15,935,940,918,923.1,39409
2026-03-16,941.5,941.5,904.3,911,38360
2026-03-17,900.1,913,900.1,906,32022
2026-03-19,920,930,905,915.1,43361
2026-03-22,915.1,940,915.1,928.2,38236
2026-03-23,940,944,915.2,928,44494
2026-03-24,928,942,925,933,32568
2026-03-25,930,973,925,954,71281
2026-03-26,954,985,945,975,60186
2026-03-29,994,994,928,928,54821
2026-03-30,928,937,894.1,894.2,50858
2026-03-31,895,913,868.6,902,53728
2026-04-01,900,902,862,870,46741
2026-04-02,875,885,852.6,860,38602
2026-04-05,850,874,795,797,64190
