timestamp,open,high,low,close,volume
2023-12-07,268,294.8,268,294.8,19904
2023-12-10,294.8,324.2,294.8,324.2,2670
2023-12-11,330.6,343.9,294,308.9,59194
2023-12-12,303.1,339.7,303,339.7,38412
2023-12-13,339,369.2,337.2,359,22084
2023-12-14,351.9,360,332.2,356,34457
2023-12-17,348.9,357,340,349,29427
2023-12-18,355,368,335,338,37148
2023-12-19,333.1,344,332,337,20458
2023-12-20,337,349.8,332,342.7,25207
2023-12-21,342.2,351.9,334,349,28146
2023-12-24,355.9,373,336.2,373,76297
2023-12-27,380.4,410.3,380.4,410,56574
2023-12-28,418,434,395,399,39496
2024-01-01,406,409,376,376,55904
2024-01-02,383,383,361.8,375,28737
2024-01-03,370,396.9,370,391,24240
2024-01-04,396.8,406,382.5,385,37543
2024-01-07,377.3,392.7,371,381,20472
2024-01-08,378,419.1,378,419.1,59806
2024-01-09,427.4,461,427,461,81869
2024-01-10,470.2,490,462.7,474,65683
2024-01-11,474,521.4,460,521.4,65095
2024-01-14,531.8,573.5,530,573.5,24670
2024-01-16,584.9,630.8,565,610,76520
2024-01-17,622,623,562,579,63889
2024-01-18,567.5,589,560,576.1,37208
2024-01-21,565,621,565,580,24577
2024-01-22,568.6,580,546,548,20803
2024-01-23,550,559,520,527.4,17540
2024-01-24,537.9,548.6,511,523.1,17935
2024-01-25,517,544.1,517,537,15807
2024-01-28,526.3,540,522,540,19972
2024-01-29,530,593,530,565,44215
2024-01-30,570,587.5,560,582,36448
2024-01-31,572.1,590,559,570,25736
2024-02-01,559,562,545,545.1,16874
2024-02-04,535,542,527.1,535,7215
2024-02-05,545.7,545.7,530,531.5,8095
2024-02-06,542,581,525,558,21102
2024-02-07,552,560,546.9,546.9,16327
2024-02-08,550,600.7,550,600.7,96650
2024-02-11,600,660,600,641,90065
2024-02-12,641,641,615,630,60405
2024-02-13,618,626,596,610,43343
2024-02-14,597.8,608,586,590,29362
2024-02-15,579,606,579,597,22153
2024-02-18,585.1,596.8,566,576,19578
2024-02-20,565.1,611.7,565.1,595.6,20910
2024-02-21,603,603,568.4,570.4,11216
2024-02-22,581.5,604,559,560,17893
2024-02-25,558,568,541.5,541.5,23748
2024-02-26,530.7,563.3,530.7,548.7,6994
2024-02-27,559.6,570,537,543,11830
2024-02-28,532.2,564,525,535,13270
2024-02-29,545,545,506,506.1,17553
2024-03-03,496,515,496,512,10295
2024-03-04,522.2,563.2,522,563,6060
2024-03-05,574.2,574.2,529.2,539.8,29740
2024-03-06,529.3,547.9,519.1,539.9,14717
2024-03-07,539.9,560.1,522.5,531.9,15157
2024-03-10,531,541.6,530.5,531.1,14027
2024-03-12,541.7,552,530,540,10246
2024-03-13,530.1,560,529.3,539.9,58823
2024-03-14,529.3,540,518.8,523,16890
2024-03-17,512.6,530.4,512.6,530.4,11726
2024-03-18,520.5,525,510,519.6,18174
2024-03-19,519,520,507,507,9031
2024-03-20,509,513,499,503.9,18300
2024-03-21,500.1,510,493.9,495,12153
2024-03-25,493.9,494.8,482,483,7204
2024-03-26,475,508,475,505,10080
2024-03-27,505,509.9,487.1,494.9,11134
2024-03-28,486,499.9,478,493.9,9852
2024-03-31,492,500,485,490,6020
2024-04-01,485,497.9,482.1,491.9,5949
2024-04-02,499,499,477.5,481,8754
2024-04-03,485,489,473.6,479.8,9920
2024-04-04,471,480,471,480,5888
2024-04-07,483.5,484,473.9,480,7817
2024-04-09,484,499,474,487,31422
2024-04-10,482.3,507,482.3,505,27432
2024-04-14,498,509,492,495,9835
2024-04-15,490,499,475.3,485,13303
2024-04-16,475.6,490,475.6,477,6979
2024-04-18,470.7,480.5,462,467,8320
2024-04-21,460.2,474.9,460.2,474.9,6058
2024-04-22,468,477,458.7,458.7,3747
2024-04-24,452.2,474.6,449,469.9,23765
2024-04-25,461,474.3,449,470,16549
2024-04-28,479.4,497,453,497,10480
2024-04-29,487.1,488,459,485,14215
2024-04-30,494.7,494.7,457.7,489,9400
2024-05-02,479.5,491,474,474,9277
2024-05-05,465,501,453.1,460,9750
