timestamp,open,high,low,close,volume
2023-09-25,293,293,263.7,264,118856
2023-09-26,258.8,276.5,258,275,63032
2023-09-27,275,301.5,274,293,37432
2023-10-01,290,290,263.8,266,68013
2023-10-02,260.7,280,252,275,42692
2023-10-03,270,270.8,250.3,262,29670
2023-10-04,267.2,268,257.1,261.1,27206
2023-10-05,265,270,255,258,21735
2023-10-08,262.1,271.9,252.1,263,37222
2023-10-09,260,285.6,258.1,273,62477
2023-10-10,273,290,271,289,57377
2023-10-11,290,300,282.3,293.1,57844
2023-10-12,288,298.9,279,290,53633
2023-10-16,284.2,284.2,268.7,269.3,23129
2023-10-17,267,279.9,264,266.6,33009
2023-10-18,266,279.9,263.3,274.9,24107
2023-10-19,272,277.4,263.8,271,13606
2023-10-29,267,284.2,262,265,22960
2023-10-30,270,291.5,261.2,271,11504
2023-10-31,270,276.4,261,268,7290
2023-11-01,268.7,289.8,256.1,262.7,11781
2023-11-02,257.6,260.2,252.5,257,17844
2023-11-05,252.4,254,247.4,249.5,17341
2023-11-06,245.3,258,245.3,254,9902
2023-11-07,257,259,242,249.8,30672
2023-11-08,244.9,250,241.1,247,23653
2023-11-09,242.1,246,238.2,240,17589
2023-11-20,236.8,244.8,231,236.9,13931
2023-11-21,232.2,232.2,221.1,225,16216
2023-11-22,220.5,229.5,217.1,223,12540
2023-11-23,227,236.5,219,236.5,11185
2023-11-26,236.5,243,227.4,241,22389
2023-11-27,245,245,234,236,9625
2023-11-28,236,240.9,228.6,240.9,24417
2023-11-29,237,239,228,232,11680
2023-11-30,227.4,233.5,222,224,17577
2023-12-03,228,230.5,219.7,223,11340
2023-12-04,220.8,229,220.8,224.1,11429
2023-12-05,222,231.9,222,226,14913
2023-12-06,222.1,226,222.1,224,5630
2023-12-07,226.5,232.8,223,227,22987
2023-12-10,231.5,247,231.5,247,1275
2023-12-11,250,250,232.4,244.9,34656
2023-12-12,248,251,233.8,247,41271
2023-12-13,247,267.3,247,249,49380
2023-12-14,245,264,245,260,28595
2023-12-17,255,278.9,250,278.9,53010
2023-12-18,281,282.6,264,269.8,60852
2023-12-19,270,272,260,270,21530
2023-12-20,270,279.4,262,269.8,38131
2023-12-21,275.1,275.1,256,256,37593
2023-12-24,256,271,256,261,48664
2023-12-27,262,279,262,275,60120
2023-12-28,280,299,265,296.5,96908
2024-01-01,302.4,307,279,280.5,58636
2024-01-02,276.3,286.1,269.5,273,44494
2024-01-03,268,285.1,268,284.9,26414
2024-01-04,279.3,293.6,279.3,280,65130
2024-01-07,278,296,278,282,50358
2024-01-08,285,310.2,282,304.1,77169
2024-01-09,304.1,324,304.1,306,78858
2024-01-10,311,317,301.2,301.3,46433
2024-01-11,302,327,302,316.2,60403
2024-01-14,322.5,337,320.2,328,45127
2024-01-16,330,339.9,314.6,320,84605
2024-01-17,321,326.6,297,299,65308
2024-01-18,294,321,294,310,41321
