timestamp,open,high,low,close,volume
2023-02-28,989.4,989.4,989.4,989.4,20
2023-03-01,989.4,989.4,989.4,989.4,10
2023-03-02,989.4,1029.2,989.4,1029.2,45
2023-03-05,1029.2,1070.6,1029.2,1070.6,145
2023-03-07,1070.6,1092,1070.6,1092,35
2023-03-09,1092,1113.8,1092,1113.8,20
2023-03-12,1136,1158.7,1136,1158.7,35
2023-03-13,1158.7,1205.4,1158.7,1205.4,60
2023-03-14,1229.5,1325.9,1229.5,1325.9,155
2023-03-15,1352.4,1458.4,1352.4,1458.4,150
2023-03-16,1458.4,1604.2,1458.4,1604.2,347
2023-03-19,1604.2,1764.6,1604.2,1764.6,900
2023-03-20,1799.8,1941,1799.8,1941,621
2023-03-22,1941,2135.1,1940.4,1945,2879
2023-03-23,1910,1911,1783,1800,1677
2023-03-26,1764,1764,1620,1620,1050
2023-03-27,1587.6,1587.6,1465.2,1587.6,512
2023-03-28,1580,1720.9,1570,1700,315
2023-03-29,1700,1700,1600.4,1664,406
2023-03-30,1670,1688,1619,1620,350
2023-04-02,1620,1619.7,1588,1588,40
2023-04-03,1557.1,1590,1557,1590,100
2023-04-04,1620,1620,1563,1563,124
2023-04-05,1550,1605,1550,1605,570
2023-04-06,1605,1605,1600,1600,36
2023-04-09,1600,1600,1568,1568,30
2023-04-10,1550,1550,1515.1,1520,430
2023-04-11,1520,1642,1520,1633,345
2023-04-12,1664,1715,1616,1680.7,785
2023-04-13,1700,1710,1632,1710,91
2023-04-16,1710,1710,1641.5,1641.5,165
2023-04-17,1641.5,1641.5,1581.1,1641,128
2023-04-18,1608.2,1660,1587,1587,356
2023-04-19,1599,1625,1599,1625,75
2023-04-20,1625,1625,1592.5,1592.5,25
2023-04-23,1561,1623.8,1561,1620,70
2023-04-24,1630,1630.1,1611,1611,530
2023-04-25,1605,1605,1605,1605,20
2023-04-26,1637,1637,1605,1634,59
2023-04-27,1630,1630,1615,1615,20
2023-04-30,1590,1620,1586,1620,70
2023-05-02,1611.1,1615,1609,1615,153
2023-05-03,1615,1615,1590,1590,40
2023-05-04,1591.8,1610,1591.2,1610,187
2023-05-07,1590,1642.2,1552.3,1642.2,100
2023-05-08,1609.4,1655,1520,1655,115
2023-05-09,1621.9,1621.9,1511.3,1511.3,552
2023-05-10,1494,1541.5,1494,1494,170
2023-05-11,1465,1465,1408,1464.8,145
2023-05-14,1435.8,1464,1430,1430,55
2023-05-15,1411,1420,1410,1410,40
2023-05-16,1410,1410,1400,1400,55
2023-05-17,1377,1377,1321,1325,341
2023-05-18,1350,1350,1300,1300,370
2023-05-21,1326,1332,1326,1332,35
2023-05-22,1332,1332,1300,1300,119
2023-05-23,1326,1340.1,1320,1320,394
2023-05-24,1346,1366,1320,1339,725
2023-05-28,1362.8,1362.8,1335.6,1340,60
2023-05-30,1340,1340,1340,1340,10
2023-05-31,1313.2,1313.2,1228.1,1228.1,388
2023-06-01,1205,1252,1205,1230,105
2023-06-04,1250,1275,1250,1275,30
2023-06-05,1250,1345,1250,1251,130
2023-06-06,1251,1251,1230,1230,20
2023-06-07,1254.6,1353,1254.6,1353,245
2023-06-08,1379.4,1406.9,1379,1398,134
2023-06-11,1398,1430,1364,1430,115
2023-06-12,1405.1,1405.1,1380,1380,50
2023-06-13,1380,1435,1378.9,1378.9,125
2023-06-14,1406.3,1452.4,1405,1430,287
2023-06-15,1430,1435,1430,1430,50
2023-06-18,1458.6,1513,1455.3,1509.6,315
2023-06-19,1490,1490,1358.7,1358.7,1325
2023-06-20,1332,1332,1222.9,1222.9,1840
2023-06-21,1198.5,1245,1105,1244,17910
2023-06-22,1250,1265,1196,1259,5967
2023-06-25,1233.9,1258.6,1186,1240,7247
2023-06-26,1218,1305,1216,1290,7318
2023-06-27,1291.2,1419,1291.2,1419,4592
2023-06-28,1447.3,1485,1348,1375,9656
2023-07-02,1375,1375,1310.1,1315.3,4340
2023-07-03,1300,1325,1280,1300,2997
2023-07-04,1276,1326,1276,1300,2140
2023-07-05,1291.3,1310,1291.3,1300,2500
2023-07-06,1293,1320,1293,1296,3289
2023-07-09,1301,1326,1275,1310,2520
2023-07-10,1300,1341,1300,1316.1,3652
2023-07-11,1317,1335,1292,1312,2050
2023-07-12,1312,1321,1293,1320,1660
2023-07-13,1320,1400.7,1302,1339,2782
2023-07-16,1350,1365,1313,1318,1550
2023-07-17,1292,1340,1292,1330,1325
2023-07-18,1330,1375,1323,1355,2909
2023-07-19,1329,1355,1327.9,1341,1740
2023-07-20,1314.3,1360,1314.3,1331,1945
2023-07-23,1314.3,1390,1314,1379,3806
2023-07-24,1352.2,1379,1341,1343.1,1164
2023-07-25,1318,1359,1318,1343,2027
2023-07-26,1369,1369,1317.2,1346,2075
2023-07-27,1370,1371.9,1313,1316.7,1540
2023-07-30,1343,1343,1280,1304,1882
2023-07-31,1279,1310,1279,1292,955
2023-08-01,1293,1300,1255,1260,955
2023-08-02,1246.5,1260,1241.3,1250,1425
2023-08-03,1225.6,1275,1225.6,1234,785
2023-08-06,1212,1220,1194,1196,1390
2023-08-07,1177,1209,1176.2,1189,1210
2023-08-08,1171.5,1190,1167.1,1172.3,930
2023-08-09,1151,1217,1145,1213,1353
2023-08-10,1225,1249.5,1167,1185,680
2023-08-13,1162,1166,1145,1156,1050
2023-08-14,1136,1172,1133.5,1159,1245
2023-08-15,1152.2,1175,1150,1164,1230
2023-08-16,1155,1165,1155,1165,820
2023-08-17,1160,1269.9,1160,1220,1790
2023-08-20,1200,1244.4,1181,1228,1580
2023-08-21,1205.1,1215,1185,1185,550
2023-08-22,1180,1203.6,1165,1170,475
2023-08-23,1150,1190,1150,1175,595
2023-08-24,1157,1180,1105,1180,3697
2023-08-27,1156.4,1156.4,1097.6,1135,1548
2023-08-28,1112.5,1135,1094,1110,860
2023-08-29,1091.1,1110,1091.1,1110,650
2023-08-30,1088,1106.7,1080,1105,1217
2023-09-03,1084.1,1084.1,1050.1,1069,660
2023-09-04,1047.7,1070,1042,1070,870
2023-09-05,1050,1052.6,1032,1040,475
2023-09-07,1021,1040,1021,1023.1,610
2023-09-10,1015,1023,999,1008,936
2023-09-11,1007,1045,996.1,1045,780
2023-09-12,1025.1,1030,1015,1016,410
2023-09-13,1016,1061,1010,1055,591
2023-09-17,1035,1106.7,1035,1098,1876
2023-09-18,1098,1207,1096,1142,1454
2023-09-19,1163,1200,1116,1123,565
2023-09-21,1145.4,1168,1123,1142,1344
2023-09-24,1120,1177,1120,1150,1000
2023-09-25,1130,1169.9,1125.2,1140,890
2023-09-26,1121.1,1162,1121.1,1160,1298
2023-09-27,1137,1138,1121,1135,555
2023-10-01,1125,1135,1117,1128.5,1002
2023-10-02,1111,1140,1111,1130,835
2023-10-03,1120.3,1128,1070,1115,6293
2023-10-04,1110,1127,1095,1117,2970
2023-10-05,1096.5,1106,1088,1099,997
2023-10-08,1078,1080.9,1065,1075,894
2023-10-09,1065,1070,1061,1070,628
2023-10-10,1060,1075,1055.1,1058,530
2023-10-11,1055,1079,1053.1,1073,525
2023-10-12,1051.7,1071,1021,1034,1100
2023-10-16,1025,1030,1016,1030,700
2023-10-17,1040,1050,1023,1030,500
2023-10-18,1030,1081.2,1025,1081.2,280
2023-10-19,1080,1081.2,1061,1062,235
2023-10-29,1041,1070,1031.2,1050,505
2023-10-30,1032,1070,1032,1045,212
2023-10-31,1030,1052,1030,1042.8,519
2023-11-01,1033,1060,1033,1041,665
2023-11-02,1032.1,1052,1032.1,1035,600
2023-11-05,1015.1,1025,1005,1012.1,360
2023-11-06,1012.1,1035,1012,1022,405
2023-11-07,1023.1,1040,1023.1,1030,260
2023-11-08,1011,1050,1011,1030,523
2023-11-09,1013.1,1030,1013.1,1028,420
2023-11-20,1020,1020,996,1010,750
2023-11-21,990,1003,941,950.1,1316
2023-11-22,935.1,969.1,932,962,930
2023-11-23,981,991,960,980,516
2023-11-26,960.4,999.6,947,994,1010
2023-11-27,1000,1000,962.4,980,265
2023-11-28,970,990,960,968,333
2023-11-29,970,975,951,955,623
2023-11-30,950,970,941,945.6,700
2023-12-03,944,945,930.1,936.5,265
2023-12-04,922,973,922,962,370
2023-12-05,944,964.9,944,950,496
2023-12-06,950,965,934,952.2,400
2023-12-07,940,977.1,940,970,244
2023-12-10,989.4,989.4,989.4,989.4,10
2023-12-11,1009.1,1049,980,998,1229
2023-12-12,978.1,1020,974,1005,1520
2023-12-13,984.9,1072,984.9,1010,1313
2023-12-14,1010,1044.9,1000,1016,670
2023-12-17,996,1064,996,1064,2575
2023-12-18,1060,1150,1032,1150,3196
2023-12-19,1152,1219,1110,1200,1785
2023-12-20,1224,1240,1138,1173.1,3481
2023-12-21,1150,1150,1105,1139.9,1699
2023-12-24,1139,1179.9,1116.6,1116.6,3792
2023-12-27,1116.6,1116.6,1065,1080,2064
2023-12-28,1061.3,1101,1050,1100,4110
2024-01-01,1120,1121,1069.1,1071,1190
2024-01-02,1060,1114,1060,1114,1741
2024-01-03,1091.8,1145,1080,1133.5,1277
2024-01-04,1111,1150,1080.4,1121,3343
2024-01-07,1098.6,1110.1,1075,1094,2586
2024-01-08,1076,1099.5,1076,1099,1282
2024-01-09,1080,1120.9,1070,1090,1502
2024-01-10,1111.8,1156,1080.1,1098.5,6984
2024-01-11,1120,1142,1066,1073,1654
2024-01-14,1073,1167,1073,1117,1245
2024-01-16,1139.3,1208,1114.4,1148,3047
2024-01-17,1148,1220,1148,1200,8757
2024-01-18,1176,1180,1146.1,1170,2029
2024-01-21,1190,1205,1150.1,1178,3700
2024-01-22,1198,1198,1088.2,1139.9,1355
2024-01-23,1162,1162,1095.4,1144,410
2024-01-24,1166.8,1234,1111,1139.9,745
2024-01-25,1162,1208,1094,1116,488
2024-01-28,1120,1120,1084,1115,2451
2024-01-29,1100,1137,1100,1103.1,1115
2024-01-30,1125,1147.6,1103.1,1120,4774
2024-01-31,1119,1132,1097.6,1101,1685
2024-02-01,1123,1123,1094,1094.1,2690
2024-02-04,1115.9,1203.5,1115.9,1203.5,11014
2024-02-05,1227.5,1302,1227.5,1230.1,7851
2024-02-06,1249,1249,1206,1228,1712
2024-02-07,1228,1235.2,1206,1230,2485
2024-02-08,1254,1255,1220,1253,3650
2024-02-11,1277,1278,1255,1267.1,6475
2024-02-12,1250.1,1290.5,1250.1,1287,2240
2024-02-13,1261.4,1300,1251,1251,3900
2024-02-14,1250,1279,1250,1261,1052
2024-02-15,1261,1297,1261,1264,2469
2024-02-18,1242,1260,1242,1247,955
2024-02-20,1226,1254,1213,1221,2337
2024-02-21,1206,1240,1206,1233,607
2024-02-22,1217,1274.9,1217,1232,1480
2024-02-25,1217.1,1240,1217.1,1218,805
2024-02-26,1219.9,1228.4,1207,1217,1715
2024-02-27,1240,1290,1207.3,1230,1486
2024-02-28,1220,1254,1212,1222.3,1330
2024-02-29,1211,1235.1,1210,1210.2,880
2024-03-03,1209,1210,1190,1196,1665
2024-03-05,1202.1,1260,1202.1,1222,3091
2024-03-06,1220,1260,1220,1260,1855
2024-03-07,1240,1323,1240,1315,3376
2024-03-10,1339.9,1397,1321,1386.8,3426
2024-03-12,1402.3,1473,1402.3,1454,5737
2024-03-13,1483,1484,1432,1480,2603
2024-03-14,1490,1490,1421,1445,5472
2024-03-17,1445.1,1480,1435,1445,3436
2024-03-18,1450,1479.9,1421,1448,3427
2024-03-19,1476.9,1579,1455,1579,7502
2024-03-20,1610,1690,1580,1652.4,6688
2024-03-21,1620,1620,1557.6,1600,3063
2024-03-25,1618.9,1618.9,1480.5,1500,4230
2024-03-26,1520,1549,1490,1540,4001
2024-03-27,1568.9,1625,1523,1525.3,4348
2024-03-28,1526,1599,1509.2,1594.5,11208
2024-03-31,1625,1625,1540,1569,1918
2024-04-01,1540,1570.1,1538,1547,919
2024-04-02,1519,1650,1519,1620,3513
2024-04-03,1625,1629.9,1558,1620,2243
2024-04-04,1590,1652.3,1590,1635,3886
2024-04-07,1635,1677.9,1605,1677.9,2891
2024-04-09,1677.9,1746,1652.5,1688,1886
2024-04-10,1700,1721,1615.2,1630,1360
2024-04-14,1630,1768.6,1575,1700,2758
2024-04-15,1720,1779,1667,1697.9,1235
2024-04-16,1685,1685,1630,1640.3,2798
2024-04-18,1609,1630,1590,1590,2311
2024-04-21,1565,1614.9,1565,1605,1794
2024-04-22,1605,1669,1605,1618,2040
2024-04-24,1649,1660,1600,1648.9,2655
