timestamp,open,high,low,close,volume
2019-01-13,162,162,162,162,51875
2019-01-15,167.5,179,167.5,179,3685
2019-01-16,179,191.5,179,191.5,3690
2019-01-17,191.5,205.5,191.5,205.5,57490
2019-01-20,213,221,190,196,729258
2019-01-21,196,196,181.5,181.5,403770
2019-01-22,181.5,183,168.5,180,217131
2019-01-23,180,193,177.5,189,138867
2019-01-24,189,192.5,185,187,122167
2019-01-27,187,189.5,180.5,183.5,121117
2019-01-28,183.5,185,183,183.5,64493
2019-01-29,183.5,183.5,179,180,95372
2019-01-30,180,180,178,178,53226
2019-01-31,178,180,176.5,179,57691
2019-02-03,179,179,175.5,176.5,99156
2019-02-04,175.5,176.5,172.5,173,95240
2019-02-05,173,174,170,171.5,104687
2019-02-06,170.5,171.5,168.5,169,67848
2019-02-07,168,169,166.5,169,59830
2019-02-10,168.5,169,164.5,165.5,59960
2019-02-11,165.5,168.5,163.5,166,61013
2019-02-12,166,166,165,165.5,38083
2019-02-13,165,166,164.5,165,41724
2019-02-14,163.5,165,162,164,69628
2019-02-17,162.5,165.5,162.5,163,45386
2019-02-18,161.5,163,160,160.5,51862
2019-02-19,161.5,166,159.5,166,57539
2019-02-20,165.5,166.5,161.5,162,41490
2019-02-21,161,164,161,162.5,32296
2019-02-24,162,163,160,161,46222
2019-02-25,160,163,160,162,35508
2019-02-26,162.5,162.5,160.5,161.5,34122
2019-02-27,162,164,161.5,162,26480
2019-03-03,162,162.5,161,161,40964
2019-03-05,161,162.5,160.5,162,34553
2019-03-06,161.5,163,161,163,25338
2019-03-07,164,165.5,162.5,165,47328
2019-03-09,165,167,163,165,41255
2019-03-10,165,167,163,165,41255
2019-03-11,166,169,164,167.5,73683
2019-03-12,167.5,173,167,172.5,94823
2019-03-13,172,174,168.5,169.5,70458
2019-03-14,170,170.5,167.5,170,57279
2019-03-17,170,173,170,172.5,59409
2019-03-18,172.5,174,171,171,36699
2019-03-19,171,172.5,170.5,171,19638
2019-03-21,171,172.5,169,170,38970
2019-03-24,170,171,167.5,169.5,41392
2019-03-25,169,170.5,168,170,35260
2019-03-26,168.5,170.5,168.5,170.5,31029
2019-03-27,170.5,170.5,168,170,27337
2019-03-28,169.5,170.5,169,170,24176
2019-03-31,170,170.5,168.5,169.5,38545
2019-04-01,169.5,169.5,168,169,35591
2019-04-02,168.5,170,168.5,168.5,30721
2019-04-03,169,170,167.5,167.5,41796
2019-04-04,167,169,167.5,168.5,45323
2019-04-07,168,168.5,167,167.5,43463
2019-04-08,167.5,168.5,166,167.5,43356
2019-04-09,166.5,168,166,166.5,19124
2019-04-10,165.5,167.5,165.5,166,40755
2019-04-11,166,166.5,165,166,53054
2019-04-15,166.5,166.5,163,165,31609
2019-04-16,165,167,164,165,31491
2019-04-17,165,166,164,164.5,36025
2019-04-18,165.5,165.5,163.5,164.5,23918
2019-04-21,164.5,164.5,162.5,164,29902
