timestamp,open,high,low,close,volume
2022-08-17,324.6,357,324.6,357,3870
2022-08-18,364.1,392.7,364.1,392.7,84038
2022-08-21,400.5,431.9,390.1,393,41125
2022-08-22,393,399.9,376.1,388.6,41656
2022-08-23,396.3,399.8,375.4,388.5,22730
2022-08-24,381.1,414,381,404,36702
2022-08-25,398,412,392,392,20925
2022-08-26,387,389.3,378.4,389.3,18080
2022-08-28,381.6,383,366,366,19565
2022-08-29,359,365.1,350,364,13689
2022-08-30,365,370,348,360,11010
2022-08-31,354.1,356,337,341.2,11524
2022-09-01,341.2,365,330.3,353,10075
2022-09-02,347,350,341.1,349,2950
2022-09-04,343,356.6,343,356.6,7960
2022-09-05,351.5,379.6,351.5,367,20600
2022-09-06,359.8,364,350.7,351.1,8932
2022-09-07,345.1,351.1,338.7,342,9665
2022-09-08,337.1,351,337.1,351,11722
2022-09-11,357,357,338,340,5910
2022-09-12,346,352,332,334,8172
2022-09-13,330.5,344,330.5,332.6,5865
2022-09-14,330.1,345,330.1,345,14960
2022-09-15,345,345,320.4,321,17340
2022-09-16,315,318,303,304,9714
2022-09-18,303.9,307,290,298.8,9924
2022-09-20,295,295,277.5,279.2,10805
2022-09-21,278,289,273.8,289,7601
2022-09-22,285,292.8,268.4,280,7763
2022-09-25,274.5,275,265,270,3945
2022-09-27,264.9,278,261.2,274.4,2299
2022-09-28,269,280.5,263.7,279,1644
2022-09-29,282,285,271,285,1590
2022-10-09,280,285.6,275,283,2832
2022-10-10,288,288,266.3,270,1512
2022-10-11,265.1,269.9,261.1,267,970
2022-10-12,265,281.2,259,268,3199
2022-10-13,265,270,260.7,267,4101
2022-10-16,268,272,259,264,2171
2022-10-17,260,269.2,254.8,265,4809
2022-10-19,262,270.3,251.3,270.3,6295
2022-10-20,275,275,250.1,258,1650
2022-10-23,253,263,250,261,4325
2022-10-31,255.9,261,246.4,261,1530
2022-11-01,256,274,251,271.9,8855
2022-11-02,270,275.4,261.5,273.5,11905
2022-11-03,268.1,277,262.8,270,3853
2022-11-06,267.1,280,267.1,277,6435
2022-11-07,271.5,282,265.1,268,8230
2022-11-08,265.2,271,265,270,4120
2022-11-09,270,270,256,260,5175
2022-11-10,256.1,260,247.3,251.8,7130
2022-11-13,247,255,243,244.9,2961
2022-11-14,246.5,254.9,240.2,250,2645
2022-11-15,245,250,237,241.7,7570
2022-11-16,238,252.5,238,245,4900
2022-11-17,247,259,247,255,11083
2022-11-22,251.2,260,239.2,249,10313
2022-11-23,244.1,252,242.1,248,3030
2022-11-24,243.1,256,243.1,250,4847
2022-11-27,245.1,259.8,245.1,259.8,4599
2022-11-28,260,266,252.3,259.9,7015
2022-11-29,254.8,261,250.1,258,2489
2022-11-30,252.9,260,252,259.7,10133
2022-12-01,259.9,259.9,250.4,258.9,3440
2022-12-04,258,261,254,258.9,6748
2022-12-05,254,257,250,253,5399
2022-12-06,250,252,245.4,246.4,3700
2022-12-07,242.1,249.9,242.1,249,5675
2022-12-11,249,249,240.1,242.7,4683
2022-12-12,241,251.8,241,250,5809
2022-12-13,245.1,254.5,245.1,254.5,2290
2022-12-14,250.1,253,245.3,249,3630
2022-12-15,247,253.5,247,249,9004
2022-12-18,247,251,245,249,4760
2022-12-19,253,253,245,250,5490
2022-12-20,245,255,245,253.9,6921
2022-12-21,249.1,253.8,249,249,2831
2022-12-22,246,255,246,251,4746
2022-12-26,251,260,250,258,10094
2022-12-27,260,276.3,258,273,27701
2022-12-28,278,278.4,264.7,269.1,13134
2022-12-29,265,288,265,288,13556
2023-01-01,288,295,277,284,21148
2023-01-02,289,296.5,276,296.5,14051
2023-01-03,291,306,288,291.2,10580
2023-01-04,286,307.9,286,302.1,10022
2023-01-05,305,332.3,300,323.1,15886
2023-01-08,320,355.4,308.3,348.3,35529
2023-01-09,350,371,334.1,356.1,18673
2023-01-10,360,374,335,341,42678
2023-01-12,338,371,320.5,330,27311
2023-01-17,330,358,319,352,24819
2023-01-18,359,372.1,350.6,363,52934
2023-01-19,356,390,349.1,383,40985
2023-01-23,380,384,362.2,369.7,40295
2023-01-24,362.5,375,358,375,20223
2023-01-25,368,400,368,390,37243
2023-01-26,390,397,378.1,391,24247
2023-01-29,383.2,392.8,376.1,382,20627
2023-01-30,375,396.7,365,369.5,29351
2023-01-31,363,377.9,357,373.5,16469
2023-02-01,367,380,367,374,13703
2023-02-02,368,377.5,355.1,369.4,15283
2023-02-05,363,370,357,360,11710
2023-02-06,358,365,354.4,357.1,9481
2023-02-07,350.2,389,350.2,381,17258
2023-02-08,385.6,396,371,372.5,18284
2023-02-09,365.3,377.4,365.2,372.1,7429
2023-02-12,364.7,367.2,357.6,364,11443
2023-02-14,370,370,358,361,8595
2023-02-15,358,364,353,360,13895
2023-02-16,352.9,360,346.3,353,8716
2023-02-20,346,360,330.3,348,11170
2023-02-22,348,365,342.2,360,5863
2023-02-23,352.8,356,343,352,4930
2023-02-26,345,359,332.1,357,4765
2023-02-27,350.1,357,344.1,348,11199
2023-02-28,348,366,343.4,358.9,8080
2023-03-01,359,359,346.1,352,3806
2023-03-02,345.2,350,342,350,3535
2023-03-05,344.2,350,343.2,343.3,7430
2023-03-07,340,366.1,338.2,348,1972
2023-03-09,350.1,366,350.1,363,4624
2023-03-12,362,363,346,355,6609
2023-03-13,348,350,344,350,2280
2023-03-14,345,364,345,354,2138
2023-03-15,348,357,344,355,4200
2023-03-16,347.9,354.8,345.1,351,1360
2023-03-19,345.1,354.9,345.1,351,5010
2023-03-20,345.3,362,345.3,361,4226
2023-03-22,367,374,354,357,2000
2023-03-23,350,351.5,340.1,340.1,11676
2023-03-26,340,346,334.4,340,3120
2023-03-27,335,358,334,358,6364
2023-03-28,354,358,344,357,7985
2023-03-29,350,357,344.1,352.2,2610
2023-03-30,352,357,347,349,5911
2023-04-02,349,360,340.1,346.8,7315
2023-04-03,345,346,338.1,346,2836
2023-04-04,340,345,334.5,338.3,3180
2023-04-05,332,353.5,332,352.9,5065
2023-04-06,345.9,350,338.1,338.1,3167
2023-04-09,331.5,334,326,330,3643
2023-04-10,323.5,349.8,323.5,334,2700
2023-04-11,327.5,346.8,323.1,340,5829
2023-04-12,346,359,340,357,6660
2023-04-13,350,354,340,341,5315
2023-04-16,335.3,342,329,339,4220
2023-04-17,333.1,340,333,333.1,1891
2023-04-18,331,337,325.1,336.8,4740
2023-04-19,333,339,331.1,339,1200
2023-04-20,332.3,335,327,327,4130
2023-04-23,321,328,321,325,1960
2023-04-24,320,331.1,315.8,325,2160
2023-04-25,319,335,319,327,6250
2023-04-26,320.5,332,317,320,2055
2023-04-27,314.6,320,314,319,2505
2023-04-30,312.8,315,301,304,6850
2023-05-02,303,303,287,293.7,9703
2023-05-03,288,305.4,283.2,294.7,2740
2023-05-04,289,296,285,295,2035
2023-05-07,300.9,300.9,278.6,287,2360
2023-05-08,281.3,283.5,276,283.5,1944
2023-05-09,277.9,289,272.5,288,3535
2023-05-10,288,292.9,284.1,285.2,1660
2023-05-11,279.5,281,274,279,1500
2023-05-14,274.1,274.1,266,272,1820
2023-05-15,272,280.5,269.5,275,2950
2023-05-16,280,280,265.6,276.6,550
2023-05-17,276,290,274.2,290,4685
2023-05-18,286.5,302,281.2,293,3878
2023-05-21,293,298,281.5,290,6641
2023-05-22,295.6,295.6,278,289,9785
2023-05-23,284.6,300,284.6,295,4917
2023-05-24,292.1,305.8,291,299.9,4760
2023-05-28,294,317,294,296,12699
2023-05-30,290.1,296,284,284,4200
2023-05-31,278.4,294.1,270.1,272,4930
2023-06-01,267,277.5,261.8,277.5,7414
2023-06-04,283,295.8,278.6,290,4920
2023-06-05,290,304,285,287,6713
2023-06-06,281.5,310,281.5,299,5913
2023-06-07,302,310,295.1,298,6345
2023-06-08,293.3,303,290.3,298.7,3040
2023-06-11,297.9,312,296,308,12613
2023-06-12,310,314,294.1,300.1,8900
2023-06-13,300,315,294.5,315,16472
2023-06-14,314,318,305,308.2,11470
2023-06-15,312.6,313.9,302,308,6773
2023-06-18,302.4,315,301.9,312,13405
2023-06-19,310,329,307.4,313.7,9530
2023-06-20,307.5,316.2,302,302,1958
2023-06-21,300,302,290.4,297.3,6291
2023-06-22,300,308,286.3,293,3601
2023-06-25,287.2,295,280,291,6214
2023-06-26,286.2,304.6,283,288,8028
2023-06-27,293,293.9,280,293.9,10625
2023-06-28,299.6,304,279,288,8132
2023-07-02,282.3,290,269.7,274.9,7881
2023-07-03,270,277.5,264.7,273,3315
2023-07-04,269,273,266,270,2870
2023-07-05,264.6,265,261,265,4960
2023-07-06,260,275,255.1,265,3317
2023-07-09,262,272,258,269.5,4313
2023-07-10,265,274,258,258.1,4180
2023-07-11,253.1,263.1,251.9,254,3733
2023-07-12,259,274.3,252,269,5765
2023-07-13,269.7,275,257.9,264.9,6176
2023-07-16,260,270,256.8,256.8,2615
2023-07-17,252,263,251,263,2375
2023-07-18,258,263,258,262,2630
2023-07-19,257,262,253,262,8218
2023-07-20,257,270,254,267.5,4000
2023-07-23,268,275,263.1,274.8,7140
2023-07-24,275,280,270.8,274,13660
2023-07-25,270,272,266,270,3137
2023-07-26,265,273,264,264,2240
2023-07-27,269.2,273,258,264,3102
2023-07-30,260,266.5,255,263,5260
2023-07-31,260,268,254,261,1761
2023-08-01,256,261,251,255.9,2193
2023-08-02,251.2,261,251.2,258,11275
2023-08-03,253.2,262.5,252.1,262.5,1530
2023-08-06,257.3,257.3,248.1,249.5,4000
2023-08-07,244.6,253,239.9,249,3639
2023-08-08,244.2,245,240.3,244.9,1651
2023-08-09,240.2,252.9,240.2,250,13158
2023-08-10,245.1,250,240.7,245.1,1640
2023-08-13,250,250,241,248,4277
2023-08-14,243.1,257,239,243,12892
2023-08-15,244,244,234,239.9,14645
2023-08-16,239,242.7,229,242.7,4640
2023-08-17,237.9,237.9,230.3,235.8,3518
2023-08-20,231.1,234,221.8,223,7968
2023-08-21,219,222,216,217,2599
2023-08-22,213.1,234,213.1,234,2361
2023-08-23,230,243,220,232,11462
2023-08-24,236.6,241.3,222,227,7860
2023-08-27,222.5,238.1,220,238.1,1510
2023-08-28,233.4,233.4,221,233,12785
2023-08-29,228.4,231,222.5,226,840
2023-08-30,221.6,223,219,221.9,1190
2023-09-03,217.5,226,213,221,2586
2023-09-04,217,220.3,212.3,219,1660
2023-09-05,215,233,211.5,233,10880
2023-09-07,228.4,228.4,210.1,212,810
2023-09-10,210,221,208.2,218,3755
2023-09-11,213.7,225,210.7,225,3095
2023-09-12,223,223,210.7,212,6182
2023-09-13,215,224,208.5,224,4626
2023-09-17,219.6,219.6,208.9,212,10792
2023-09-18,208.3,233.2,208.3,222.2,6355
2023-09-19,222.2,228,212.5,228,3841
2023-09-21,232,250.8,225,250,21197
2023-09-24,247,265.3,245,256.4,31716
2023-09-25,260,271.9,247,268,21186
2023-09-26,265,290,265,283,18078
2023-09-27,280,300,257.8,285.6,28143
2023-10-01,291,291,257.1,259,27594
2023-10-02,254,279.7,249,272,15226
2023-10-03,266.6,274,250,270,11607
2023-10-04,274,279.9,254.3,269.8,8936
