timestamp,open,high,low,close,volume
2023-08-13,253.6,278.9,253.6,278.9,4197
2023-08-14,284.4,306.7,284.4,306.7,4320
2023-08-15,312.8,337.3,288.1,312,60856
2023-08-16,315,318,288,308,21018
2023-08-17,302,331,298.2,327,11300
2023-08-20,325,330,297.5,297.5,11545
2023-08-21,291.6,300.5,291.5,295,5930
2023-08-22,290,311.9,290,306,5120
2023-08-23,312.1,312.1,301.2,307.5,6450
2023-08-24,301.5,309,293.5,299,7345
2023-08-27,293.1,293.1,281.1,281.7,3930
2023-08-28,280,285.2,269.1,276.5,5020
2023-08-29,277,287,271,273,3630
2023-08-30,268,281,268,277.1,2490
2023-09-03,272.6,277.4,262.1,269,4350
2023-09-04,264.1,295,264,294,8672
2023-09-05,290,294,281.5,292.3,4994
2023-09-07,286.5,313,275.6,297,4230
2023-09-10,291.1,306.9,285.4,289,3660
2023-09-11,283.3,306.5,283.3,296,6670
2023-09-12,290.1,316,287.4,316,7254
2023-09-13,316,321.9,302,316.2,4555
2023-09-17,309.9,320,292.4,314,7578
2023-09-18,307.8,315,298,314,4883
2023-09-19,307.8,345.4,304.6,330,9589
2023-09-21,335.1,348,330,334,9341
2023-09-24,327.7,349.8,322.1,349.8,9301
2023-09-25,348,374.3,342,367,6800
2023-09-26,374,375.3,354.9,373,13860
2023-09-27,365.6,365.6,346.2,353.9,10380
2023-10-01,346.9,346.9,321.5,329,13660
2023-10-02,323.4,344.7,314.3,344.7,10815
2023-10-03,337.9,358,331.3,353,10872
2023-10-04,348,362,340,350,16381
2023-10-05,350,362,348,357,8255
2023-10-08,349.9,350,333.3,347.3,7860
2023-10-09,340.7,361.2,335,340,8770
2023-10-10,346.8,346.8,333.2,340,3170
2023-10-11,335,346,323.2,346,3755
2023-10-12,339.1,339.1,322,322.1,10955
2023-10-16,316,322,305.1,313,2872
2023-10-17,313,344,310,318,3751
2023-10-18,324.3,326.1,313,326.1,5881
2023-10-19,319.6,325.9,308,325.3,840
2023-10-29,319,319,303.3,313,1610
2023-10-30,306.8,312.6,304.1,312.6,1870
2023-10-31,308,315.2,308,314,1980
2023-11-01,307.8,315,294,312.9,12083
2023-11-02,306.7,309.8,297.8,303,4353
2023-11-05,297,308.9,285.6,305,1000
2023-11-06,298.9,309.9,298.9,309.9,2795
2023-11-07,304,312,298.2,309.9,1350
2023-11-08,310,312.1,300,311.9,2753
2023-11-09,317.9,317.9,295,306,959
2023-11-20,300.5,312,296.2,306,2820
2023-11-21,300,300.9,288,300.4,2270
2023-11-22,300,306,295,306,2190
2023-11-23,299.9,311.9,295.2,308,2747
2023-11-26,303.1,320.3,303.1,316,7963
2023-11-27,316,347.6,313,347.6,25421
2023-11-28,347.6,364,347,357,6500
2023-11-29,357,350,337.6,341,4060
2023-11-30,334.2,340,328,332,6262
2023-12-03,325.5,338.3,319,337,4466
2023-12-04,343.1,355,322.2,331,2130
2023-12-05,326,339.6,325.4,331,5480
2023-12-06,327.1,357.5,327.1,333,1450
2023-12-07,339.6,344,326.3,342,8135
2023-12-10,348.8,361,348.8,361,630
2023-12-11,361,361,339.1,342,11542
2023-12-12,335.2,360,330.3,357,16814
2023-12-13,350,378,350,374,29245
2023-12-14,380,402,370,402,22366
2023-12-17,394,415,381.5,408,12681
2023-12-18,416,416,380,386,18532
2023-12-19,378.4,396.7,378.4,395,13556
2023-12-20,388.1,400,375.3,383.8,27988
2023-12-21,383,391,378.6,386,11874
2023-12-24,383.1,416.1,378.3,390,21749
2023-12-27,393,402.8,381.5,391,24031
2023-12-28,383.4,403,378.3,386,12205
