timestamp,open,high,low,close,volume
2023-12-21,365.3,401.8,365.3,401.8,7730
2023-12-24,409.8,441.9,409.8,441.9,9105
2023-12-27,450.7,486,450.7,486,18977
2023-12-28,495.7,534.6,495.7,534.6,46854
2024-01-01,545.2,588,523.9,549,150275
2024-01-02,555,570,530.2,540.4,107187
2024-01-03,545,545,530,542,60268
2024-01-04,550,595,542,585,68836
2024-01-07,596.7,607,555.5,559,76780
2024-01-08,559,595.4,548,586,52235
2024-01-09,586,597,562,567,43715
2024-01-10,568,573.1,555,559,27275
2024-01-11,550,568,548,560,27247
2024-01-14,570,608,570,582,90565
2024-01-16,593,600,565.1,577,62737
2024-01-17,588.5,588.5,545,551,58811
2024-01-18,540,570,530,542,62515
2024-01-21,543,564,537,541,40419
2024-01-22,540,550,528,530.1,35703
2024-01-23,521,540.7,516.4,522,32181
2024-01-24,521,530,509,509.4,28559
2024-01-25,509.4,515,496.1,505,28866
2024-01-28,505,527,503.1,525,31024
2024-01-29,515,537,515,530.2,30539
2024-01-30,531.2,539.6,525,527,38007
2024-01-31,527,532,504.7,509,37216
2024-02-01,509,513,502.1,505,26731
2024-02-04,500,510,491.1,501.2,17918
2024-02-05,500,515.1,500,513,17400
2024-02-06,513,525,505,524,24505
2024-02-07,520,530,517,520.2,15357
2024-02-08,518,537.3,518,535.5,38153
2024-02-11,535.5,543.5,521.5,525.1,42449
2024-02-12,525,576,525,566,107368
2024-02-13,564,570.1,542,544,52993
2024-02-14,540,555,535.1,549.9,24291
2024-02-15,549.9,562,536.2,537,31373
2024-02-18,526.7,540,516.1,518.5,32291
2024-02-20,515,544.6,515,540,31973
2024-02-21,529.2,559.9,525.2,533.1,18825
2024-02-22,543,543,514,519,39171
2024-02-25,516,540,515.9,521,32893
2024-02-26,515.1,535,515.1,524.9,16816
2024-02-27,522,532,515,519,11125
2024-02-28,510.5,554,510.5,542,91844
2024-02-29,548.9,548.9,519.1,529,34697
2024-03-03,520,538.9,511.2,528,44788
2024-03-04,538,571,538,571,7936
2024-03-05,582.4,582.4,532,534,53753
2024-03-06,525.1,549,525,543,44401
2024-03-07,543,553,530.3,536,16107
2024-03-10,540,545,533,533,29321
2024-03-12,533,540,530,536.1,27030
2024-03-13,536,545,531.1,544,42058
2024-03-14,544,549.9,524.4,534.7,29097
2024-03-17,543,543,524,525,18275
2024-03-18,524,528,522,524,15716
2024-03-19,523,534.4,515,518.4,22002
2024-03-20,518.4,523.9,515,517,19166
2024-03-21,526.9,526.9,513.2,513.2,15052
2024-03-25,511,517.8,504,512,10043
2024-03-26,510,523,510,522.9,15209
2024-03-27,518,524.9,510.4,515,13532
2024-03-28,512,519,511,512.5,12709
2024-03-31,512.5,519.9,510,510,15853
2024-04-01,510.1,515,508.1,513,17017
2024-04-02,510,513.5,502.8,505,11733
2024-04-03,507,515,502,502.8,13027
2024-04-04,502,509.8,499,502.9,19734
2024-04-07,496.1,509,496.1,509,10805
2024-04-09,509,516,508,508,13273
2024-04-10,508,515,505,507,17658
2024-04-14,500,510,499,502,18913
2024-04-15,501,505.1,498.2,499.6,13190
2024-04-16,500,500,490,490,8373
2024-04-18,485,490,468,475,20739
2024-04-21,475.1,487,475,483,15086
2024-04-22,492.4,502,476,481,12253
2024-04-24,480,484,469,469.4,7636
2024-04-25,465,472,465,465,8240
2024-04-28,466,474.9,465.2,472,8076
2024-04-29,467.1,476.9,466.1,468,5368
2024-04-30,465.1,490,465.1,482,15406
2024-05-02,480,488.5,468,468,12695
2024-05-05,462,471,458,458,12054
2024-05-06,456,460,451.7,454,6864
2024-05-07,458,458,448,450.8,8103
2024-05-08,453,453,445.1,448.7,8095
2024-05-09,450,455,447.1,447.3,6766
2024-05-12,456,457.9,448.5,454,9087
2024-05-13,450.1,461,450.1,457,3960
2024-05-14,465,484,456,479.9,26314
2024-05-15,489,489,462,467.9,14028
2024-05-16,460.5,473.8,460.5,464,13476
2024-05-19,472,476.5,460,470,23380
2024-05-20,478,485.3,470.3,480,20767
2024-05-21,488,509.5,476,508,59146
