Symbol,Company_Name,LTP,Marketcap,Nepse_Weight
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,985.2,3617096875.32,0.08 %
ADBL,Agricultural Development Bank Limited,316.0,45205440726.65,0.95 %
AHL,Asian Hydropower Limited,543.0,1846200000.0,0.04 %
AHPC,Arun Valley Hydropower Development Co. Ltd.,306.0,12363632614.33,0.26 %
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,368.1,7362000000.0,0.16 %
AKPL,Arun Kabeli Power Ltd.,295.0,11493029195.0,0.24 %
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1162.0,9327207562.09,0.20 %
ALICL,Asian Life Insurance Co. Limited,481.2,25268856680.83,0.53 %
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,6410.1,5021882687.43,0.11 %
API,API Power Company Limited,336.3,20433345209.9,0.43 %
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,1035.0,2587500000.0,0.05 %
BANDIPUR,Bandipur Cable Car and Tourism Limited,965.0,27309500000.0,0.58 %
BARUN,Barun Hydropower Co. Ltd.,375.0,4018612500.0,0.08 %
BBC,Bishal Bazar Company Limited,4726.0,189512600000.0,3.99 %
BEDC,Bhugol Energy Development Company Limited,528.0,2872601952.0,0.06 %
BFC,Best Finance Company Ltd.,495.0,4407599988.0,0.09 %
BGWT,Bhagawati Hydropower Development Company Ltd,771.1,5229907933.06,0.11 %
BHCL,Bikash Hydropower Company Limited,591.0,5372788683.0,0.11 %
BHDC,Bindhyabasini Hydropower Development Company Limited,496.0,5883998400.0,0.12 %
BHL,Balephi Hydropower Limited,237.3,8675545620.0,0.18 %
BHPL,Barahi Hydropower Public Limited,581.0,1452500000.0,0.03 %
BNHC,Buddha Bhumi Nepal Hydro Power Co. Ltd.,370.0,2960000000.0,0.06 %
BNL,Bottlers Nepal (Balaju) Limited,15355.0,29925159885.0,0.63 %
BNT,Bottlers Nepal (Terai) Limited,11899.9,14398879000.0,0.30 %
BPCL,Butwal Power Company Limited,743.9,25360034535.0,0.53 %
BUNGAL,Bungal Hydro Limited,665.0,5519500000.0,0.12 %
CBBL,Chhimek Laghubitta Bikas Bank Limited,948.0,34291663682.22,0.72 %
CFCL,Central Finance Co. Ltd.,550.0,5218815023.03,0.11 %
CGH,Chandragiri Hills Limited,870.0,14013921358.08,0.30 %
CHCL,Chilime Hydropower Company Limited,510.0,48373442235.36,1.02 %
CHDC,CEDB Holdings Limited,2560.0,26476468761.6,0.56 %
CHL,Chhyangdi Hydropower Ltd.,318.0,2461176900.0,0.05 %
CIT,Citizen Investment Trust,1844.0,125498912584.5,2.65 %
CITY,City Hotel Limited,504.0,15186528000.0,0.32 %
CKHL,Chirkhwa Hydropower Limited,722.0,2888000000.0,0.06 %
CLI,Citizen Life Insurance Company Limited,485.1,24254999999.21,0.51 %
CORBL,Corporate Development Bank Limited,1647.0,8646750000.0,0.18 %
CREST,Crest Micro Life Insurance Ltd.,1425.9,10694250000.0,0.23 %
CYCL,Cyc Nepal Laghubitta Bittiya Sanstha Limited,1608.0,4284104191.2,0.09 %
CZBIL,Citizen Bank International Limited,216.7,33609750150.52,0.71 %
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,874.0,17961698727.15,0.38 %
DHEL,Daramkhola Hydro Energy Limited,810.0,8347050000.0,0.18 %
DHPL,Dibyashwori Hydropower Ltd.,323.0,852720000.0,0.02 %
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1362.6,1813620600.0,0.04 %
DOLTI,Dolti Power Company Ltd,528.0,2832646080.0,0.06 %
DORDI,Dordi Khola Jalbidhyut Company Limited,311.0,6557499688.0,0.14 %
